text,label
"нормальные сварщики на производстве себя показывают а не на конкурсах, а где работает она? таких сварщиков называют паркетными.",0
"назначив ,,идиота,, дегтярева губернаторм хабаровска путин сделал ,,плевок,, в лицо народа такое отношение к народу всей страны, он уверен что народ ,,заткнется,, и устанет ходить ему вве это ,,до лампочки,,",1
"Двач, почему тян такие тупые? С ними же просто не о чем поговорить... Они не могут поддержать разговор ни о философии, ни об устройстве Российской Империи в начале XX века. Я увлекаюсь поэзией, литературой, языками, читал в оригинале Ницше и Гегеля, но разговор с тянками все равно не клеится... Ни одна девушка не смогла развить тему о немецкой экономике конца XIX века и предпосылках для начала первой мировой войны. Почему они настолько тупее меня, что мне не дают? Я же такой умный, что ходил два года в качалку, но не набрал ни грамма массы - все уходит в гениальный мозг. Где найти ламповую 10 10 няшу с накачанной задницей и упругими сиськами, чтобы обсудить с ней культурно-социальные аспекты Речи Посполитой и влияние католической церкви на внутреннюю экономическую политику оной? Почему они все тупые животные, которые мне не дают? Двач?!
",1
мадам права .как это здорово с утра .,0
"надеюсь на вас не сильно обидели. просто там устали от таких подделок и у многих терпение закончилось. Как правило часы стоимостью в 150 000 не лежат на полке с треснувшим стеклом.
",1
кто такой путин без народа это простошелуха .батинки ему повыше сделают и пускай балдеет.,1
а как же все таки квас сделать с закваской все понятно?,0
"нет,пусть в школу без лифчика ходит!",0
"свободу убийце, убийцу на кол .. слов больше нет ..",1
вы в школе учились? если название родного города пишите с ошибками. стыдно!!!,0
че прям тёплый теплый,0
то что эта мразь отмороженая понятно но раззевать свою вонючую пасть не стоет уж кому кому но не тебе шлюхе вякать,1
стелька ебучая,1
"сними мундир, отправь в помои, потом иди снимать побои.
",1
сасать научись))),1
намного добрее и человечнее были!,0
пидр тыбе нести дно ё бани урод,1
а что за хамство дама? вот это ваше воспитание? да я вас и понял с первого вашего искусственно приподнятого комментария. не дали хаять молодежь стала выкручиваться.,0
да это не массажист это придурок с псехушки,1
а эти чмошники сами то из какого дерьма поаылазили.,1
а ты видно давно неебанная,1
вот ты! зуб руси даю!))),0
"аватар, тебе дуре написала, чтоб бред не постила и не классила ебанутым высказываниям какого то деда о восьмиклассницах.🙄🙄🙄",1
добрый день!,0
это пидр бомж,1
и корабли сожжжеммм если доебут,1
продам диван с креслом. 4000т.р торг. вопросы в л.с.,0
залетел балбес натовский в тилимилитрямдию))),1
"скажите, а что в августе выплат до 16 не будет?",0
"очень хороший, вкусный мед и малина и липа 👍😍",0
"запретить и разбивать чужое имущество никто не имеет право...эти продавцы платят налоги ,а государство им обеспечивает безопасность. это уголовное ответственность.",0
сбербанк онлайн операции чек по сбербанк онлайн операция переводс карты на карту дата операции мску авг оо операции мску время о чб о номер документа чвз статус операции выполнен успешно сумма операции обб оо руб комиссия ооо руб отправитель золотой боз vиsа gоld н получатель карты вбч код ав вторизации бо получатель платежа татьяна валерьевнал пао платеж выполнен опиll,0
путина на листвинице повесить,1
где можно купить такие?,0
да идите на хуй со своим вирусом,1
хуй она кому ответь,1
"как же было тебе плохо,тяжело. видимо не было больше сил сдерживать себя.дай бог тебе на небесах покоя и прощения.а на земле тебя помним и любим.",0
"мусора ебаные, пидоры конченые",1
"в спортзал надо ходить, мадам, а не на диване умничать. трюк, конечно сложный, но хороший спортсмен (особенно боец) это делает. они на спор и не такие фортели выкидывают.",0
"земля ему пухом,родным сил и здоровья пережить это горе.",0
ублюдок он и в африке ублюдок.,1
"не затолкать, а отрубить к чертям собачьим! мрази фашистские!",1
романов вылизывает пизду белковской,1
"враги Путина клоун блядь, какой он враг Пыни??? Сисян политический противник Пыни, у них порно-политический анальчик
",1
"если пригожинская фабрика троллей стала работать в три смены, то власть сильно испугалась.",0
"Там Макарон совсем рамсы от своих желтых жилетов попутал, лягушила?! Не смотрит куда его псы тявкают!
",1
от куда она падла и взелась народ за неё не галосовал путин где ты их откапываешь,1
надо сукам в гос думу побольше колющих и режущих на рассмотрение поставив вопрос бля о конфискации имущества за казнокрадство и подпереть сукам двери на выход!,1
"просрали дружбу, стратеги херовы. теперь и белорусы отворачиваются. как только с украиной началось, сразу сказал, следующая белоруссия. не могут быть все пид.расы, а одни мы дартаньяны. хотя... наверное никакой дружбы и не было.",1
надо было стрелять из тоотши,1
эти птицы умные..,0
долбоебы кто ставит клас,1
та блядь позорная,1
"зае.бешься, чучело забугровское.",1
"а всё идёт от гниды, которая на верху сидит. говно, а не президент.",1
мощная киса! издалека посмотреть - сейчас замурлыкает,0
людмиле и василию я голосовать уже лет тридцать не хожу а в пенсионный фонд идти только себе давление подымать вы посмотрите вокруг себя у нас везде одно жулье,0
"что, украина сама самостоятельно не в состояние решить никакие вапросы своей страны, надо украину за ручки водить надо, поэтому сша нужна позор тебе украина!!!",0
не взяли ещё?,0
тебе суке при ссср в рот нассали ?...ты вспомни если знал...кто сохранил россию ...кто и зачем высаживался в портах архангельска и владивостока...и как делили ещё живую страну ...пидорок ты гнойный...ленин и спас россию.....,1
как хочу так и висю 🤪🤪,0
какой раз выкладываем？день рождение каждый месяц.,0
прекрасно ! сколько любви к жизни !,0
"👍 был такой пяти дверный 1968г. всё родное даже проводка, верх был только жестяной и внутри дермантин. продали документы с него на армейский вездеход. у него доки были со звёздочкой и отметкой вездеход. а машину по запчастям раздали и остольное в чермет.",0
как вы уже достали,0
"этих сволочей,давно пора на плаху,но....,а им по хую!!!",1
"они же твёрдо знали, что в 1980 году попадут в кумунизьм!!!",0
расстреливать нахрен!!!!!!!!!,1
"Я его в жопу ебал, его твич, его подписчиков и его контент для сынов дерьма. Поделом, тупая пизда с раздутым счв теперь навечено в бане. Благо твич сейчас чистит биомусор, спасибо ему
",1
"меня умилила однажды продавщица, говорит: соль не нужна? а то обычно все про неё забывают",0
"во -первых,детей михаил постоянно убеждали ,что они сами виноваты,что кавказский менталитет якобы позволяет так поступать отцу с дочками,а также навязали им ярлыки шалав,проституток и ....якобы наследственность матери и бабушки и т.д... ...и дети верили,что они виновны,хотя для них это было мерзко и неприятно! #u2947edb495s# #u2947edb495s# - ты прочти, что написала. это как можно так связать?????#u76b45120a8s# #u2d8a07b33bs# #u2d8a07b33bs# #u2d8a07b33bs# #u2d8a07b33bs# #u2d8a07b33bs# #u2d8a07b33bs# #u2d8a07b33bs# #u2d8a07b33bs#",0
"к сожалению это не ваша кошечка. 2 дня не было,а сегодня опять там. и похоже загуляла. вот куда в зиму котята. да и собак здесь туча.",0
таких пидорасок гнать в шею живут засчет пинсионеров,1
и мразью сдохнет.,1
"убила бы, ейбогу !",1
пидоры!!!! чего сейчас они только не придумают отравили чем водкой или коксом? а что от инсульта быстро очухался !!! говно народное на палке сделал ответь ! мразь!!!,1
нажми на открытку,0
"А свиньи разве умеют читать?
",1
гнида и есть гнида,1
"ещё остались на свете долбаебы, которые ведутся на такую хуйню 🤦🏻‍♂️",1
перестаньте писать такое г. под таким фото,0
"дебил б,,ть",1
"пидор, один уже такой хитрожопый был, оказался в ростове",1
я бы отлизал!!!!!!,1
нормальные рулетки покупать надо или в поверку сдавать,0
"Что мешает покупателю узнать на сайте магазина, какой товар со схожими потребительскими свойствами на данный момент там отсутствует, придти с требованием осуществить замену именно на него, а после закономерного получения отказа по причине отсутствия товара отказаться от исполнения договора купли-продажи и потребовать возврата уплаченных за него денежных средств?
",0
"Бескрымодебилу неприятно.
",1
"да он и без сабли,страшный,бля....",1
масквачи это мерзкие зажравшиеся пиявки на теле у пролетариата,1
чемпион мира по подводному плаванию шаварш карапетян.,0
"пару дней назад видела похожую кошку рано утром возле школьной, 3.",0
"вот и весь ответ, насколько эти выборы в очередной раз будутчэсными!!!!! хотя, с другой стороны, нигде ни в каких документах не оговорено, что установка таких камер и круглосуточное наблюдение запрещены!!!!! а, как говорится, что не запрещено, то разрешено!!!!! так что, эти отписки ермошиной просто отговорки, не имеющие никакой юридической силы!!!!! лида, хватит уже народ дурить, давай посчитай хоть раз по-честному, а не па-чэснаму, как велит твой хозяин!!!!!",0
чемодан вокзал и в пендосию все это отребье,1
"ты классно выглядешь красотка,хотел-бы встретиться с тобой..",0
пусть сука имжерого станет если это так,1
убивать мы не имеем права никого а вот кастрировать легко,1
островского 19-20,0
"найти и наказать по всей строгости, суки-твари! не вышло у них раскачать майдан, так хоть так вредят!дб!",1
а не быстрое!?,0
"в шахту их всех спустить на 15 часов ,хотя бы на один день.",0
мы конечно же голосовать пойдём ! только всё уже решено без нас .,0
балдахин - белая вуаль,0
"наверное, папа рожицы корчил!",0
велик с карданом.,0
да ты што - видео тебе подавай :-)))))) наверно порнуху или пресканфиренцыю твоего хуйла ?? ;-)))) вот это для тебя правда :-),1
"красиво,но оочень дорого",0
"забыло пидарьё, как в 17м с колоколен их сбрасывали.",1
гавначист ебанный,1
"давить на корню проплаченных сволочей, за пять копеек готовы продать мать родную. правильно лукашенко держит их в кулаке.",1
"много и красиво говорят....только все это,слова.и ничего,не меняется. у самого то рожа,холеная......пиздаболы!",1
пидараст петровский,1
тебе трусов нужна моя квартира???? ебаный дурак???,1
"тебя молодежь,кому хату для распивона пре доставляешь,напаивают, трахают и обоссывают. что не опровергаешь. щенки ,а ты их считаешь крутыми. позорница сельская. .",1
именно так. это совершенно разные корпуса.,0
+ воры и толстые крысы .,1
гниды кремлевских😠,1
политическая шалава .,1
это не дает им право его бить твари а не родители,1
"в помощь начинающим есть хорошая тема: чаво http://ok.ru/rodinapublic/topic/62716166840464 подробные пояснения и ответы на вопросы, возникающие по ходу игры.",0
я бы убила бы этих тварей родителей и не понимаю людей которые спокойно смотрели и не вмешались,1
"страничку не помню, а фразы как отце наш, хоть среди ночи спроси.",0
в зад бы ему вставить. по самую рукоятку.,1
пушистый настройщик!,0
продам абрикосы 150 р.89965099833,0
"5 старый,тихо,душно,второй вечер воняет паленой резиной просто жуть.",0
как уже заебал этот дурдом.,1
"козел гребаный,если не сказать больше.",1
знаете для чего таких собак женщины заводят для секса женщина стоновится раком пес ее начинает трахать вот для чего такую собаку женщины заводят !!!,1
"да его не то что уважать, его русские будут презирать, как последнюю гадину.",1
твари охуевшие,1
"Помню у нас в старой школе в которой я учился с 1 по 5 класс покуда её не расформировали всю висели такие плакаты в кабинетах ОБЖ и НВП и в актовом зале. А потом в новой школе уже не видел.
",0
интересно долго ли они будут себя позорить,0
"по логике наших врачей, вирус это болезнь , поэтому заразиться им можно только в больнице.",0
"вот такие коммунисты и кричат громче всех о социальной справедливости. что зюганов, что грудинин и прочие с ними. опозорили настоящих коммунистов, которые строили и защищали страну, и верили в будущее.",0
где они такие?,0
чета не нравиться мне этот пидарок,1
идите нахуй на барикады.это группа ачинское вату,1
"как не начнёт позировать , обязательно свою иксовую ногу раздвинет .трусы ещё снять забыла .блядища .а уо почему рядом нет ?",1
"Ага, они тоже плоские, как и земля и солнце и луна... , - стрельнул пукан у сами знаете кого
",1
"вот, одно слово - тварь!",1
бред сумасшедшего.,0
"вешать их нахуй хуечинских и всякую прочую мразь!!!!туда же и бывших и нынешних правителей,олигархов и барыг..",1
"да еще лучше, вообще про их акции - сборища не показывать, и тогда сами быстрее заглохнут, сейчас их сми показывают, вот они и рисуются",0
пусть сама их и жрет.,0
"пидорок олечка, так ты уже выбрал между россией и донбассом, как ты мне предлагал?",1
"то, что нужно! спасибо!",0
цена этого костюма.,0
спасибо родная 😘 🤗,0
"я присягал ссср и значит я страну не защитили можно обвинять жидов,но я то где,ну где я был?при мне слетелось вороньё,при мне забыли бляди честьнам надо доказать блядям,что мы живые что мы есть!",1
"Хуй соси, анимеблядь. Мать твою ебал Аноним ID: Туповатый Я вижу, можешь не продолжать.
",1
"будем строго судить получилось классно!!!!!, только навес надо, чтоб сохранилось дольше.",0
где пенсионер заработает30 -40 тр. только в козлограде столице нашей родины. позор. пусть это хуйло их оставит себе на похороны,1
фото можно 15 сортов.,0
класс! хоть одному перепало!,0
нуда болше уже грабить не кого,0
у меня две такие же было 728 732 на второй передаче 120 км 7тыс оборотов в красный сектор стрелка даже не входит,0
"Ну а зачем мне овуляшка, которая свалит в декрет, какой-нибудь неадекватный верун-сектант или бывший зек?
",1
всю жизнь было озеро песчаное. правда называли по пристаням----алисова наша никак не называлась далше-бойцова-крутой берег был рядом футбольное поле а последняя на которой сьёмка---катревка вот так вот......и боровское было поделено (как в городе) на микрорайоны---стяговка жабадуровка катревка пески.........не все названия уже помню по каким то своим приметам -правилам давали эти названия да и семьям давали прозвища..............клево было-----сейчас это не поймут и никто не обижался,0
лютый фингал после выстрела будет,0
"рыбак, тебе же сказали иди 30 коп зараюатывать на хую, не поняла?",1
"для меня его творчество -умерло, как и творчество многих певцов, артистов-перевертышей и лгунов",0
как хорошо сказано.,0
александр петрович ты уже надоел. куда ни зайдёшь а ты уже тут со своим дерьмом. нищеброд чоли.? у кого все хорошо... не ищут виноватых.,1
просто так отдаете?,0
"Можешь ему передать от меня? Подпись фром хохланд виз лав
",1
стереть бы их с лица земли - таких... не людей,1
"согласен, как говорил сталин : - расстрелять нахуй!",1
пять баллов!!!👍,0
ой оаатья оисе лаю лай мно го gолих g а глаоное с очаа до об осие с доброе уречко,0
сучара ебаная!!!! как ее еще назвать.,1
"ой пошел на хуй ,жополиз",1
самая обожаемая и уважаемая!!!,0
найти и за ноги повесить...,1
петушок-петушок ник. власов-у тебя и фамилия то как у предателя родины ! я все сказал тебе привет от канала разносчик фейков и всякого гавна колясик-пидорасик! ты главное после каждого написанного в мою сторону комментария не забывай из своего рта хуй высовывать! написал-вытащил-написал-вытащил -написал-вытащил поехали: ok.ru/konstantinant/album/772603985207/902629683767 ok.ru/profile/169864071735/album/772603985207/902629683767,1
я крем для торта из кефира делаю,0
здравствуйте! сегодня получила очередную посылку. большое вам спасибо! мне понравился ваш призент для меня. и шерсть для носочков хороша!!!!,0
сейчас большую букву а так уже не пишут,0
до чего ж спелый! аж слюнки потекли!......😋,0
"я не пойму это группа в поддержку грудинина или группа шакалов нациков. админ шакал ебучий что же ты не выставляешь посты про тех кто детей своих убивает за то что мешали бухать, или тех кто при детях жену закалол ножом и.тд. а тут надо подчеркнуть выходец из дагестана. админ ты петух.",1
"продам двухкомнатную квартиру в новом доме, в пятом городке, общая площадь 62.3 кв.м., сделан хороший евроремонт. цена договорная. звонить по телефону +375297637757 олег.",0
"Эти - не люди, однозначно. Многие помогают им, типо, ну это же друзья. А потом дохнут от них. Дибилы
",1
"а зачем их задерживать??! трех пристрелили при попытке посягательства на жизнь сотрудников, одного оставили как свидетеля совершения противоправной акции. другим наука будет.",1
ну что вы это же герой нашего времени...,0
а где доказательство? пидарысы с начала дакажите.,1
"урод, еще и хвалится прижурок",1
"только хотела написать эту фразу, вижу - уже.",0
"монтян выложила видео об этой девочке. занимается она проституцией с частыми приводами в милицию, потому их и ненавидит. сейчас она координатор предлагающий ночью в темноте окружать омон толпой и мочить их топорами. потому что топору броню рубят.отбирать оружие.",1
это так мы пенсионеры будем разглядывать свою пенсию когда получем в августе,0
люди не ведитесь это пиздаболка.,1
банки есть,0
когда же эти суки нажрутся. на том свете же карманов нет.а эти уроды не как нажраться не могут.вот что значит путинская кормушка.менты омон росгвардия .защетил себя иседит в своем домике.,1
"да их за это не садить , а растреливать надо! жаль нет такого как сталин!",1
"спасибо большое, галина! 🌸",0
прогноз на 1 тур 8.08-11.08.2020г:начало тура в 17.00 химки-цска тамбов-ростов уфа-краснодар арсенал-ахмат спартак-сочи урал-динамо ротор-зенит рубин-локомотив,0
я ему эту руку в очко засунул бы,1
"никогда, не отдам своих детей в спорт. все равно что в бардель отдать. нет. а на чет того что это развивается как промышленность- согласен. но это утопия... все чемпионаты спорцмены просрали. адимпиаду тоже. нахер такой спорт??? всех новый б.а.м. строить бы отправил! или канал типо беломоробалтийского. да реклама заснашала... и спорт не смотрю в принципе. и из за рекламы где эти спортсмены хуйню несут, теперь и телевизор не смотрю...",1
владимир вкс есть чат в вотсап,0
сука когда уже эта бомба ебанёт что творят такую державу развалили,1
дебили пару головастиков и обосрались.,1
а мы не будем жаловаться мы скоро мочить пидаров будем,1
ну блять сколько еще народ будет терпеть ?!!!!! у этих сволочей нет ни совести ни стыда ! неужели думают всегда будет так ?!!!,1
"для чего писать чушь, вам самим не смешно?",0
нет блядь не курю в отличии от тебя хуеплет,1
"оболгать в легкую можно! причем я смотрю, этим начали с удовольствием заниматься, писать фейки, бред (причем ничем не подтвержденный. якобы документы скрины представлять.. не ведитесь! читайте реальные документы и учите историю.",0
какой уровень?,0
наверное задело... многих,0
"да ну !!! настя ты ебнулась ! тебе льстят , не верь !",1
нас с женой так на выходных песик трахал,1
ну продолжаем играть нет 🙂 ?,0
"убийца, алкоголик, наркоман!!!! как можно запомнить, имея такое? его отец перевернулся в гробу от стыда.",1
сднм ождения оlкгики здоровья счастъя радосты любвы с добра на долгые долгие года в,0
это всего лишь мнение одного человека... на основании опыта своей жизни. хотя и психолога.,0
"какой лапочка,прелесть!!!!",0
"МРТ или КТ головного мозга делали?
",1
"в дерьмократическом толерантно-пидарастическом государстве сша, их бы просто банально пристрелили, как бешеных собак выпустив все обоймы, что бы уж наверняка, чтобы не кто и не вякнул больше в суде!...",1
ленина 11 уже неделю еле капает!,0
"друзья всем привет✌ я заметил что каждую пятницу вечером игра блять конкретно тормозит,так это раздражает что играть не охота8oi",0
"алкаш паскудник. будь мужиком, ответь за смерть человека.",1
"зачинатели бунта, вы даже не представляете его последствий! как там у достоевского: ни одна революция не стоит слезы, пролитой ребёнком. а тут будет и крови и слез пролито море...",0
"обратитесь в магазин империя, на привокзальной !",0
в каком вузе эта мразь выучилась на психолога? скорей этот психолог получила диплом в переходе к метро. эта мразь нтуральная фашистка.,1
"он просто сказочный долбаёб , что нюхает, что курит ?не понятно. ясно одно такую хуету трезвый человек или в своём уме нести не может! (hu)﻿",1
считай-обман,0
этому алкашу и наркоману дали -бы лет 20. вот тогда и было-бы время все вспомнить. дураку видно все как на ладони. его приступление.- но видно деньги делают свое !!!,1
"Мерзкие леваки повсюду - фе
",1
"а он и не летел, не знаете не фиг ерунду писать...",0
ебло ему разбить проще будет,1
"ты педираст андрей,вот это выражение!!!",1
"я согласна,ни все совершенны.",0
"​противная мерзкая рожа! да и человечишка подленький: нагадил - и в кусты! отцу, наверно, стыдно за своего сына...​",1
вобщем козлы.......нового для жителей создать не могут...а распродать за душу.....,1
"нет,они не имеют право снимать деньги которые идут на детей)",0
"Удачи на демо экзамене парень) сам на worlskills межотраслевой 4 раза гонял от ОАК,один раз даже на Hi tech пробился)
",0
двое прибацнутых....,0
"какие же мы , русские, долбоебы, хуже всяких аборигенов.. у них гордость есть...инстинкт самосохранения, а русским, похоже, на все насрать.. обидно за мою нацию, стыдно перед поедками ,",1
такие дебилы не должны размножаться !!!!,1
ага наворовались а потом их ещё до смерти корми.стрелять!,1
"проверяет, всё ли на месте 😂😂😂",0
"россия моя самая любимая, родная страна и у нас лучший лидер и правительство не зря эта шобла ебла фашистская взвыла, сапогом вам русским по ебалу",1
с родиной действительно беда.она с 91года в оккупации мвф.но от таких майданов еще хуже,0
"Блядь вот бы дожить до момента когда азиаты будут хуярить этих бабуинов с пальм. А европейские политики а нас то за что!!!11
",1
спасибо уже нашла но если хотите запрос в друзья отправлю,0
"я бы взял, боюсь не успею.",0
"эк, вас маитушка , расперло. тролльчиха позорная. я таким , как ты не подаю.",1
"здоровья деточкам и маме, пусть кушают и спят, набираются сил, растут что бы полегче было..... 🌹🌹🌹🌹🌹",0
"таксюрики вообще пидоры гребут такие сука цены за проезд и ещё гнидничают.... закон бумеранга никто не отменял .. все вернётся. ему будет всё с полна. ну а прочем девушка также должна объяснить своим деткам что в машине есть чипсы как бы не хорошо так как они ломкие и хочеш ты или нет все равно будут крошки ей надо было просто доплатить . видела какой пидор, хотя бы доехала а так осталась с детьми на трассе. будьте внимательны с этими козлами..... правда не все таксисты хомовитые. есть конечно нормальные люди. представляете если к этого таксиста есть семья. какое оно гавно дома.....",1
кастрировать надо,1
соболезную.....это огромная потеря в мире гинекологии(((( это лучший врач который встречался на моём пути♥царствие ей небесное🙏🙏🙏,0
"мне интересно на какой фабрике их шили, мои вечно трещат по швам🙈😝😝😝",0
вот и правельно нехуй плотить этим бандитам они нас отбирают а мы молчим хватит пора рвать эту мразь,1
необычно. попробую приготовить,0
"Борозды на броне больно огромные. Они не похожи нм на когти, ни на рикошеты от снарядов. Еще модель ну совсем пластиковая. Не видно краев от рикошетов и непробитий. (Они должны быть намного светлее, насколько я помню саркофаг из адамантия или очень толстого керамита, а они чуть ли не белые) А в целом неплохо, мне нравится. Подставка бомбезная. P.S. плазма светится ярко голубым, мяяяяягонько переходящим в белый цвет. У всех кроме хаоситов) У Нас она теперь красненькая)
",0
