text,toxic
चौकियों को तबाह नही पाकिस्तानियों के सैनिको को मारो तब जा कर दिल मे सुकून मिलेगा !!!,1
"Kitne baazu,kitne sar,ginley dushman dhyaan se,haarega wo har baazi jo kheley hum ji jaan se..ab waqt aa gaaya hai en jihadio ka jo haal america ne kia hai wohi hum kare.kutto ki tarhaa maaroo inko.nahi to training ka koi faida nahi.ghar bhadho..hamare paas 125crore hai jawaan.bhag jihadi bhag hoor bhaithi hai uupar aur teri biwi ko hum sambhaal leengey..",1
Raj Shankar such sunna tujhe itna bura lagta hai to aisa kaam hi Mat ker. Such to tujhe sunna hi padega chahe tujhe apni ... k saath hi halala kiyoun na kerna pade.,1
फ़ौज और अर्द्धसैनिक बल की नौकरी देश सेवा के लिए है नाकि गद्दारों और देशद्रोहियों से पत्थर खाने के लिए।,1
Bhai party BDLNE KE MOOD ME H,0
Police ko nikkama kisne banaya.,0
"dakaiti dalne wale sansad me baithe hain aur harne ke bad istefa manga ja raha hai. o bhi un dakuon se mango jo desh lutke ,rape ,murder karke sansad me hain",1
"Uncle, there's something called due process of law which was following. Yogi ke office ke bahar daily peaceful protest hote hain aur daily laathicharge hote hai unhe bhagaane ke liye... tb tum jese bhakt kahan chale jaate hain??",1
"Hindi bhasa intizar hai, wo bhi Youtube mein free wale 😁",0
"मुँह तो काला किया,अब दिवस भी मना",1
Alwida mere Bhai hame Apsos he ke jin kayaro Ne Bahot hi Buzdili Kairi Se Tumhe Sahid kiya he...ham oska Badla nahi Lee Sake Magar insha Allah Jis din moka Mila INSHA Allah tumhari Sahadat ko zaya nahi Jane Dege...tumhari Sahadat ka Badla on Bhen ke take Se zaror Lege,1
ye banda twitter pe jara hatke naye style me tweet krne k chakkr me fas gya....,0
कुछ अच्छे काम कोई मीडीआ दवरा होता है तो बाढ़ा शुकुन महसुस होता है कोई तो है जो लोगो के लिये भी सोच रहा है और तो सारे लग रहे है की कितने पेशा मिला रहा है मोदी सरकार से जो पता नही सब अच्छे ही काम हो रहे है पर जमिन पर कुच्छ दिख नही रहा जो सोच कर बादा डर लगा रहता है कुच्छ काम ना कारने वाले लगातार लोग जिताये जा रहे क्यू पर आप इसी तरह काम करते रहे हम आप के साथ है रविश कुमार l,1
Bhai bjp karegi to phas ne ke chances bjp ke kyuki is baar kafi jagah vvpat use ho raha ha!!,0
Gitesh Khanna Akash Gupta Tum log bhi karlo xD,0
Ilaz ????? kiSka ...... ?,0
Ab to pappu hi is desh ki samasya ko suljha sakta hai. Modi to fail ho gaya 😁😁😁,1
Pratik B Panwala Kinjal Parekh Suhani Patel suhani tu aav ahiya jaisu,0
देखें लाइव - स्वावलंबन कार्यक्रम में प्रधानमंत्री नरेंद्र मोदी के भाषण का हिन्दी अनुवाद - http://t.co/eLmK8LCk04,0
Kuch bolneka mouka to do,0
Lol..asli aukat pata chal gayi :D,1
Bhehanchod saale tum katwo ki q gand fat rahi hai.,1
Tum jaise log dkhoge he karoge kuch nahi jb dkha to bachaya kyo nahi Wajid Hasan Khan...,0
Gau ka meat khale to konsi  kayamat aajayegi khao yar jo khana hai,0
Zaira aapne bahut achha kaam kia film aap kashmir hi nhi poore Bharat ki ladhkiyon ki roll model hain kattarpan ne insaniyat ko maar diya hai Allah inhe samajh de,0
drama hey isko famous karne ka.,1
Subham Chauhan aisa kuch bana,0
Samsung grand max me kyo nahi chal raha h jab ki wo 4 g h ushe apne jio ki list me lao ..,0
Agar shunglu committee ke baat sach he to shiela dixit ji ko kyu jail bhejto ho abhi tak.cbi ed delhi police nd recently ACB bhi central ke paas he .ek Fir bhi unke naam nehi hua he abhi tak.Prashant Singh,0
हमारे देश के राकेट क्या दीवाली के लिए रखा है?,1
"अब आप घर बेठे online वर्क करके कमाये Rs 15000/ से 50000 तक. 100℅फ्री ,कंपनी गवर्मेन्ट से रेजिस्टर हे।   बस इस whatsupp no. पर ""job"" लिख के send कीजिये। +918057209036",0
Inkay upper sena ke madad se bomb aur mesile   kyu nahi gera tay.....indian commondo in ki maa behen ek kar de gay...,1
Dhoni  ko openning karna chahiye kyuki dhoni tik k khelne bala khilari h,0
not mat badlna.rahul k pm hote hi fir chalu hogb.umeed pe dunia kayam hai.hahaha,0
"जो कांग्रेश  66साल  में  कुछ  नहीं  कर पायी  वो पूछ  रही  है  की मोदी  56""का  सींना  कब  दिखायेंगे .. शर्म  करो  ..",1
"डीएमके प्रमुख करुणानिधि ने पीएम नरेंद्र मोदी से कहा, हिन्दी नहीं, विकास पर दें ध्यान http://t.co/MUEdnHZ883 http://t.co/oKtDexFp3E",0
Netao ka m hai ham ninda karte hao in logo koi fark nhi padta hai jiska beta aj gya hai wo hi dard jante hai ham logo ne votr is liye nhi diya tha ki aisi ghatna nhi rok sakte hai,0
e sameer teri maa ko gaya hai gambhir rup se ads sale bahan chhod maadarchod,1
"🔘आइये digital india से जुड़िये. 🔘और घर बैठे लाखो कमाये और दूसरे को भी कमाने का मौका दीजिए. 🔘कोई इनवेस्टमेन्ट नहीं है. 🔘 आईये बेरोजगारी को भारत से उखाड़ फेकने मे हमारी मदद कीजिये. 🔘 ""JOIN"" लिखकर इस WhatsApp No.8486850061पर send कीजिये.. ............जय हिन्द..........  sponser's refer id.....686461 #important_686461  Play store > search champ cash > download. 686461 ek blank paper pe note kare.... #Refer_id_is_most_important_686461 🔘Join hone k liye uper diye hue no par whts app kare..... 🔘Note:- Android phone users only",0
बिल्कुल सही कहा है देर आए दुरूस्त आए और ये ही नहीं भारत की सारी पार्टिया आतंकवादियों से मिली हुईं है इस बात में अब जरा सा भी संदेह नहीं है,1
Khane ko doge nahi to chodenge hi...,1
mulle kyu bhok rahe hai,1
Prabhas ke aage saab fail. Jamana gaya khan bro ka,0
rahul gandhi ji app bhi kuch baja liya karo .,1
‌Part time job करके Rs.10000 - 50000 कमाना चाहतेहै तो.......आइये *CashLess DIGITAL INDIA* से जुड़िये......Zero investment.... JOIN होने के लिए आप1⃣ अपने फ़ोन केplaystore*में*Champcash money free* लिखो और उस app को अपने मोबाइल में install कर लो !2⃣ अब app पर click करो और sign up पर click करके अपनी डिटेल्स भर दो.3⃣ Refer id of sponsor पूछेगा वहाँ पर *12935304* डाल दो 4⃣ complete challenge aur apna id activate karke business se jud jao*Refer id 12935304,0
Jab dono saath me the tab bhi pakate the ab alag ho gye jyada shi hai,0
और तुम भोसड़ी के कार्टून नेटवर्क शक्ल देख अपनी सुवर के गू की तरह है जो न लीपने में है और न ही पोतने में,1
DESH KE JAWAN MAR RAHE HAI        CENTRAL  GOVT    KUCH NAHI KER RAHI,1
भारत बलात्कार के मुद्दे पर 'कर्तव्य में लापरवाह' : यूएन निगरानी संस्था http://t.co/rVmg1hqoO2,0
Shukar hai ap main faisla lene ki himmat to hai,0
Bhai ue shiv ling kya hota jise ye dho dho ke pite h,1
WO TO CHINA INDIA KA KABADDI KA MATCH HONY WALA HAI  TEAM AAYE HAI,0
#JustIn हरियाणा में आर्थिक रूप से पिछड़े लोगों के लिए 10% आरक्षण पर हाईकोर्ट ने रोक लगाई,0
शिवसेना ने केंद्र सरकार के नरम रुख की भी आलोचना की और एनडीए सरकार का पुतला भी फूंका #shivsena,0
Lanat pade tum jaise makar media pai kya bakwas dkha rehe ho .bheen choodo ye to foreign country hai .tum log ab pagal hogaye ho .kuch nahi karpaogai tum kashmir ko.dkhav ye hindustani bewakfu ko ye yakeen karegai .karo unko khali media pai khush ..bewakuf saale,1
*आईये डिजिटल इंडिया से जुडिये* *और अब अपने सपनों को सच मे साकार करिये |* *टोटली फ्री ज्वाइनिंग है|* *ना कुछ खरीदना है |* *ना कुछ बैचना है |* *ना कहीं आना है और ना ही कही जाना है |* *और ना ही कोई पैसा इनवेस्ट करना है* *घर बैठे ही करे बिजनेश 100% free* *अभी प्ले स्टोर से champ cash डाउनलोड करें* *और उसमें रजिस्ट्रेशन करे* Name : Email : Mob.no. : Date of birth : Sponsor I'd :4788988daale  Complete challenge and start unlimited earning. M.n _ 9904203970,0
Woah! Sambhav Jain phod rahe ho! 😍,0
Is movie ki 1st day collection donate kr di gyi h Army ko....,0
jab tak sc ko samaj ke mukhy dhara se nhi jor payenge shyad tab tak india pichari h,0
"पहली किसान मंडी, कितनी हिट, कितनी फ्लॉप!... http://t.co/fkj3SuxCmJ",0
Achha khabar nhi dekhai to tujhe pata kese chala,0
पाकिस्तान के लेग स्पिनर यासिर शाह ने आईसीसी की गेंदबाजों की रैंकिंग में नंबर एक स्थान हासिल कर लिया है। लॉर्ड्स टेस्ट में शानदार गेंदबाजी का इनाम यासिर को मिला है।,0
Reservation khatm ho jayega pahle cast khatm karo kai jagah aaj bhi dalito ko gali deker bulate h khaskar delhi me or up or bihar ki to bat ho alag h,1
ऐसे समाचारो से हमारे नेतागण डरने वाले नही है.,0
"Love marriage specialist+91-9829743797 समस्या बताये समाधान पाये ! जब कही ना हो काम,हमसे पाये समाधान लवमैरिज,घरवालो को मनाना,सौतन दुश्मन छुटकारा,निराश प्रेमी संपर्क करें। chat on whatsapp 9829743797",0
Pak se phle bc desh k andr gaddar ko maro bc ko,1
ravish ji aise hi news laya kare. thanks,0
Bahot sahi bola hai sir apne  College me mobile fhone band Hona chahiye,0
हर जगह सिर्फ आरोप की राजनिती करने वाले केजरीवाल का ..पंजाब..गोवा और MCD के चुनाव मे क्या हाल हुआ ये आज पुरा देश जान चुका है......  याद रहे...नसीब और जनता का साथ बार बार नही मीलता....  आपका सायद वक्त बदल चुका है..ये बात पंजाब.. गोवा और MCD के चुनावी नतीजो ने साफ कर दीया है..  क्योकी..आप इतने आगे निकल चुके हो... जहा से अब वापस मुड ने की कोइ गुंजाइस नही बची,1
Qamar bajway sab ne kaha hay hmaray Armi cheif ne k ...hum ne koi bhi india k fuji ka sr aLag nahi kiya .. or na hi koi or bay hurmti ki hay,0
Itna time to NASA ko shuttle launch mai nahi lagta,0
"मोदी जी एक बार फिर नोटबंदी कर दीजिये , ,  पिछला नोटबंदी का असर खत्म हो गया है ।  शायद इस बार आतंकवाद और नक्सलवाद की समस्या का सामाधान हो जाए । अबतक का सबसे बेकार PM .",1
Cutiye tu kuch nahi kar payega jitna bhonk sakta hai bhonk ley,1
"इन लोगों के लिए मोदी भगवान ही हैं , वो सब मिल गया जिसकी इन लोगों ने कल्पना ही नहीं की थी , काबिलियत इनमे थी ही नहीं , तो मोदी को ये लोग अभी भगवान ही मानेंगे ।",1
Arvind Z journalist ka koi dharam nahi hota. Or hum Hindustan ke baare me baat kerte hai dharam or Cast ke baare nahi. Yakin maniye agar humne community or Cast ke swal se uppar nahhi uthe to hum apne aanewale nashlo ko siway andhere ke or kuch nahi deke jayenge. To ek baar apne ghar ke bacho ke baare me socheye ga ki hum kon sa mulak uske liye chod ke jayenge.,0
"Mitro, aaj raat, 12 baje ke baad, koi dosri bike nahi, chalagi, sirf Bajaj DOMINAR chalagi.",0
Idiots ko koi fark nahi padta 136 no par aayi indian media still keval 2 kaam kejriwal aap ko kosna party .aur modi chalisa aur arti utarna,1
अबे साले मोदी VIP कल्चर लेकर बात कर रहे हो यहां Fauji मर रहे हैं uska Tumko Koi Fikar nahi अब कहां गए अब मोदी भक्तों अब गौरक्षकों देख लो अपने मोदी अब्बा की बात सुन लो,1
Waah kya baat Kahi hai Apne Lekin in baato par Amal krne Wale Kam hai,0
"madam avail your benefits like previlige leave and other benefits ...do not waste it .....just for gratuity , your are  just over working your self ......",0
mai midiya ke lo go ko bdhai dena chahta hu.,0
Jhuti khabar h ye sirf modi sarkar ko acha btane k liye ye khabar dikhai kuch nhi kya india sena ne,1
Har Har Modi Ghar Ghar Modi Jaisa Ho,0
Kyo tu apni amma k gaar me dalte hue thak gaya hai jo dusro ki gaand ki khwaish hai ..sale apne me dalle le..suar ka bacha Niyaz Ahmad Ansari  sale apni jaat me beheno se shaadi karte ho aur awazz uchi karte ho randi ki aulad,1
अब नेताओ की बकवास सुनने का टाइम खत्म हो गया। अब तो आर पार की लड़ाई होना चाहिए। अब सेना को फ्री छोड़ने का समय आ गया।,1
aise 2-4 ke chakkar me puri party ka naam kharab hota hai :/ pehle to inhe educate karne ki jarurat hai >:(,0
यदि संघी तथाकथित क्राइम करने लगें तो सबसे पहले तेरे जैसे साफ होंगे,1
Ki gall kohati bade dand tadd reya hai?  Us welle royi naa jadd tere 10 maran 2 de badle,1
My name is Lakhan sajno ka sajan oh maira yaar hai toppa,0
Meri taango ke beech me bhi ek pavitra cheez hai doodh chadayga kya??,1
पहली बात यह की जब आप मोलाना बन गए तो आप को राजनीति मे क्या काम मोलाना जी अज़ान को मजाक ना बनाए वरना फालतू में कोई भंजन मै ना बैठा ले तुम्हें,1
koi ye to bataiye?? kya undbhakto ko ye saman  kal bhi ye hi rate me milega milaga ya fir ye saman bhakto ko free milega,1
Sonia gandhi ke baat kar rahe hai ya apni bibi ke ?????,1
"मैं भी भारत का नागरिक हूँ और मेरे भारत को भी कुछ भेड़ियों के ख़ाल में छिपे अन्तराष्ट्रीय गद्दारों से ख़तरा है। ये जिस देश में हैं वहाँ की जनता इनसे ट्रस्ट है। अत: मैं भी ऐसे इण्टरनेशनल कमीनों  , गद्दारों , और नासूरों का इलाज कराने के लिए यूएन जानेवाला हूँ और साबित करूंगा कि इनसे दुनिया परेशान है इनगा इलाज करें अन्यथा हम इलाज करेंगें।",1
"READ : #TransportStrike  दिल्ली समेत देश के कई राज्यों में आज बस, टैक्सी और ऑटो बंद रहेंगे। ये बंद ऑल इंडिया ट्रांसपोर्ट वर्कर्स यूनियन के बुलाये  बंद के मद्देनज़र बुलाया गया है। ये विरोध-प्रदर्शन नए मोटर बिल के खिलाफ किया जा रहा है। http://khabar.ndtv.com/news/business/auto-and-taxi-unions-in-delhi-to-go-on-strike-today-759364",0
Waah  Sbhi ne bahut hi achi trike se apni baat rkhi   Gohar Saab  Pankaj aggarwaal g  Asad Faarokhi g  Ameer Aazam khan saahab,0
Bad luck hoga  salman Bhai ka  kyoki jo bhi unki girl friend  filme ki Hai  dgga de di Hai  life partner  nahi  bani,0
hame to lag raha hai digvijay ke hi partiy se tha aur dog hi director tha...,1
Yahab hamre jawan saheed Ho rhe hai aur in saalo ko picture dekhne ko padi hai,1
na tb unk ek female hone ka majak banaya jata....,0
"महाराष्ट्र के सीएम देवेंद्र फडणवीस ने मंत्रियों के विभागों का बंटवारा किया, एकनाथ खड़से को कृषि, राजस्व का जिम्मा",0
AGR aisa hua to chamtkar ho jaega or bjp hi bjp hogi,0
"Rohit ji, CRPF ko wapas bula kar local police ko lagana chhayia, ta ki local police he action le sakay, mufat mein pay le rahaye hai local police",1
"Makan ji sahi jagah protest karo to samajh aata hai, jahan desh main dakuon ka kabja ho wahan aap ek rupee nahi milne per garib ki thokai ker rahe hain yeh theek nahi hai,",1
"पारसी समुदाय की पत्रिका 'पारसियाना' के संपादक जहांगीर पटेल ने कहा, ""पारसी नाराज़ हैं, क्योंकि साइरस मिस्त्री और रतन टाटा की लड़ाई बोर्डरूम की बातचीत न रहकर सार्वजनिक हो गई... हमें उम्मीद है कि यह जल्द ही खत्म हो जाएगा..."" #TataSons #Parsis",0
Agar job nhi mila toh  #Vijay,0
Waha pe baithe hue logo ko meri taraf se sahanubhooti,0
Tumhri maa ki chut marri bnd kro ye bakbas...  Desh m jawan shahid ho rehe hai  Tum in kutto ki pic post kro,1
मे आप कहना चाहता हु कि पार्टी कोई भी हो लेकिन हमारे देश के जवान मारे जा रहे उस का किया होगा मोदी जी कहना चाहता हु कि आप कुछ करो कश्मिर मे पथर बाजी हो रहे वो सब रोको,0
Mayuri Garg Vaishali Dubey karo apne dosto Ko tag 😂😂😂,0
राजनाथ सिंह ने ली मंत्री पद की शपथ...देखें लाइव http://t.co/SD5UZD5Tl3,0
भारत की सबसे हिंसक पार्टी BJP खुद हैं ये बात देश का बच्चा बच्चा जानता है । अमित शाह ने साफ कर दिया है कि BJP का अगला टार्गेट पश्चिम बंगाल है। मतलब अब बंगाल में भी हिन्दू मुस्लिम दंगे होंगे बल्कि शुरू हो भी चुके है,1
मतलब आज से अगर में अपनी बाईक में 1000 रुपये का पेट्रोल भरवालूँ तो मुझे रुपये का डिस्काउंट मिलेगा ये कुछ ज़्यादा नही हे क्या करूँगा इतने पेसे का में,0
Fans hai to jayege hi police ki galti hai laathi kyu chalayi,0
3....  tino  paleyrs  ko  maoka milna chahiy ....chaympiyn  tarofi  me  ......gaotm....robin    rayna   ko,0
Are bc isme resign ki baat kaha se aa gayi,1
Muh se paan thook ke bolo be..Kahna kya chahte ho?,1
न करे तब भी चलेगा।महीने में दो लाख निकालना क्या कम है?,0
"पाक को मुंहतोड़ जवाब दे दिया गया है, अब हिम्मत नहीं करेगा : नरेंद्र मोदी....http://t.co/LFiPVn11if",0
Modi se sab neeche h fekne me,1
"कहां हैं #BabaRampal...? क्यों हैं पुलिस-सरकार गिरफ्तारी में नाकाम...?  देखिए आज रात 10 बजे #NationalReporter, @SiktaNDTV के साथ...",0
यूपी चुनाव में सीएम पद की उम्मीदवारी पर राजनाथ सिंह ने कहा कि यह सवाल पूरी तरह काल्पनिक है। यूपी बीजेपी में नेताओं की कमी नहीं है। हम तो एक जगह हैं ही।,0
अभीतक RBI और सेना देश के ऐसे दो तंत्र थे जिनकी साख बची हुई थी पर RBI की साख पूरीतरह डूब चुकी और सेना के साख परभी बट्टा लगाना शुरू हो चुका है।,1
"pak bajwa ki bajao, ye news hatao.  useless news because pak ki india pe koi aukad nahi.",1
Jam SHRI  Ram ji,0
राजनाथ सिंह --हम पाक को उसकी भाषा में ही जवाब देंगे रिपोर्टर--क्या पाक पर आक्रमण करेंगे? राजनाथ सिंह --नही उर्दू बोलना सीख लेंगे #BadlaLo,0
"NDvsENG:ऋषभ पंत 6 रन बनाकर नाबाद रहे, इंग्‍लैंड के सामने जीत के लिए है 203 रन का लक्ष्‍य",0
ye khud atankwadi hai     sala.  chor,1
Y to 4 the 400 abhi or hai,0
भाई हमको दूसरे देशो को देख क्र नही चलना,0
Laanet  h kuty pigvijay...meri request h hindustan ki janta se ase neta ko doond doond ky goli se maro agr hindustan ko bachana h,1
"आम बजट से तमाम लोगों को कई उम्मीदें थीं,  लेकिन उनमें से कितनी उम्मीदे पूरी हुई? देखें चर्चा हम लोग में... http://khabar.ndtv.com/video/show/hum-log/hum-log-who-gets-what-from-this-general-budget-358433",0
lageeee rahoooo bhaiiii logggg....yeee profff hooo gaya hy ki hmloggo ka kuch nhiii ho sakta....,1
#PatnaBlast पटना के बहादुरपुर इलाके में सोमवार रात एक बम धमाका हुआ। रिहायशी इलाके के एक फ्लैट में हुए इस धमाके में किसी के हताहत होने की ख़बर नहीं है। पढ़ें पूरी ख़बर-  http://khabar.ndtv.com/news/india/bomb-blast-in-a-residential-area-in-patna-750985,0
"देखिये आप मुद्दे से भटक रहे है.. असल मुद्दा देश सुरक्षा थोड़े ही है , असल मुद्दा तो - गाय, अजान,तलाक,लव जिहाद,  खतरे में हिन्दू, ये सब है। आप ऐसे बेवफाई नहीं कर सकते। ☺☺",1
Or ek baat sambit patra ko samjha dena k vo sochte hai k hum achha kaam kar rahe hai isliye hum jeet rahe hai to vo bilkul galat sochte hai hamari majburi hai bjp ko vote dena kyunki against me koi aisi party hai hi nahi jo kuch kaam kar sake jiska fayeda ye bjp wale utha rahe hai,1
"+91-9660919340 प्रेम-विवाह }}{{ मनचाहा प्यार }}{{ काम-कारोबार }}{{ पति - पत्नी में अनबन }} +91-9660919340 लव मैरिज ,वशीकरण, सौतन दुश्मन छुटकारा ,पति पत्नी अनबन गृहक्लेश ,कर्जा मुक्ति , ,निःसंतान, एक बार फ़ोन जरूर कर Call Now +91-9660919340",0
Tum logon ne to baski hindu logon ke nask me dum kr k rakha hai,1
"⚽⚽⚽⚽⚽⚽⚽⚽⚽⚽ आओ - हम सब मुसलमान मिलकर ! 4 बीबी और 40 बच्चे, पैदा करके ! एक नंगे, भूखे, लाचार और ""अपाहिज"" इस्लाम की, मजबूत नींव रखें ! ⚽⚽⚽⚽⚽⚽⚽⚽⚽⚽",1
"ही ही ही क्या पैदा करोगे ये बाद की बात हे,समलैंगिता वाले पैदा ही नहीं कर सकता।आप पहले अपने संघ का नाम बदलिये।ये दीखता कुछ और हे और लगता कुछ और हे।राष्ट्रीय सम्लेंगिक संघ(rss) इस नाम से दुनिया के सामने हमारी छबि ख़राब हो रहा हे।",1
Kejarival andolan krne se phele ek bar bata dena phone pe100gadhe leke samil honge andolan me,0
Bhai aur koi kaam hai ki nahi? Had hai berojgari ki.,1
Kya sonu ko bjp ka talwa chtne ka arada he game ki dukan band ho raho he,1
Jb tumse koi puche bhosadi ke tb bolna kutte.bina matlb ke gand na mara yaha sb tere bap hai,1
Yadav g public pagal nehi hai  Congress India ko kitna barbad kia hai Sab ko pata hai..,1
modi ji ko sahyog karo deshit main.,0
Babu ji ki jai ho Vikas purush Manoj shina babu ji,0
"Agar sharm aati ho in netaon ko to gathbanthan tod ke dikhaye , had Kar di jago Bharat jago",1
एक के बदले 10 सर की उम्मीद ना रख दिल्ली  तुझे पर नामर्दो का कब्जा है,1
Abhi viral nhi hua... Apne clg wale hi share ni kar rhe theek se,0
"युपी चुनाव में एक भी मुस्लिम को टिकट नहीं दिया  नतीजा, बीजेपी प्रचंड बहमत से जिती सब रेकार्ड तोड़ दिये बाहुबली फिल्म में एक भी मुस्लिम कलाकार नहीं लिया नतीजा फिल्म सुपर डुपर हिट हो गई ओर सारे रेकॉर्ड तोड़ दिये ।। जय हिन्दुत्व-BOYCOTT TO ALL BLOODY KATUWE",1
सऊदी अरब के शाह सलमान के वायु सेना पायलट बेटे को अमेरिका में देश का राजदूत नियुक्त किया गया है. अमेरिका के राष्ट्रपति डोनाल्ड ट्रंप के कार्यकाल में वाशिंगटन और रियाद के संबंधों में सुधार हो रहा है.,0
Ye kya bhagwan sarko pr dhakkay kha raha hai hahaha,1
Yeh obesi aisa Haramkhor aur gadha ki aulad k liye Desh ka yeh half hai,1
हिन्दुओ ने तो बहुत ईद में इफ्तार की पार्टी दी है लेकिन मौलाना तूने कभी दुर्गा पूजा या दीवाली की पार्टी दी है क्या बेवकूफ लोग खुद आगे बढ़ते नही अपनी कोम को भी बदनाम करते है,1
"Sonu Ji aap ko agar aazan,mandir or gurudware awaz pasand nahi koi baat nahi magar aap Jo din raat gane gate o kya bina mike me gate ho ?????? Aap ke Jo gane bazte h o kya bina loudspeaker pe bazte h????????? Aap sirf Singer ho samajhdar nahi!",1
Paisa nikalne me bahut prob ho rhi h modi ji..much kariye ..ek baar janta k bich me aaiye apko kabhi rate Marne ki zarurat ni padegi,0
Ye gormint bik chuki hai..,1
Bhonsdi k ye v bata de tu #Deshbakti party kb join kr rha hai,1
"न्यायपालिका पर दबाव तो हमेशा से रहा है, चाहे कैसी राज्यव्यवस्था हो, कोइ सरकार मे हो. सवाल ज्यादा महत्वपूरण   दबाव मे  आने और नही आने का  है. जब इतने ऊंचे पद के लोग भी  व्यक्तिगत  हितो को प्रार्थमिकता देने लगते है तब दबाव काम करने लगता है .",1
Bhai Dhoni dhoni hai unke jessa koi nhi,0
Mera sathi yaha koi nahi hai galatfaimi me mat reh ..mai akela he hu ....dkha jaye to vaag to tere gaye hai ....waise v ye baat hum dono k bich ki hai ...kaun kaha kya fir karta hai karne de,0
