text,toxic,language
там и читать нечего наверно по виду дамы,0,ru
"сучка крашеная ну почему крашеная, это мой натуральный цвет.",1,ru
подстрекатель родину гад не любиш .....,1,ru
разве убийца детей может быть переговорщиком ?,0,ru
"долбоебы.. президента ругаете, а выплат ждете",1,ru
чьмо ебаная ты спортом когда нибудь занемался,1,ru
"земснаряд «gravel» 160 — плавучий, несамоходный, дизельный, палубного типа.",0,ru
"пидоры они одним словом,и президент наш тоже пидор",1,ru
"сейчас окажется, что за рулём машины ефремова был водитель.",0,ru
"да и фото, видно, только часть улова, остальное определили уже, куда следует.",0,ru
сама там рожала в марте!замечательный персонал!,0,ru
"как россия, семимильными шагами, путями и созиданиями.",0,ru
тел для справок: 8-9236927706 или стационарный в рабочее время 24-177,0,ru
"сейчас фаны, сброд алкоголиков и долбоебов.",1,ru
самый лучший шашлык который приготовил сам !,0,ru
"ну ты с умничал автор этой херни ты что один все в россии секеш ,амы уроды ну иди на диаллг",1,ru
"ты дура долбаная, с начала думай если есть чем ,а потом пиши.",1,ru
"ушак, ишак ну как тебя ещё земля носит , придурок на всю больную голову",1,ru
"газовая труба рядом, вода рядом.",0,ru
"а во втором ряду, вторая слева моя мама",0,ru
да разве можно тебя забыть доцентты наш родной!,0,ru
"бля менты вы отдавайте такое блядство в руки пацанов!а сами отвернитесь как вы умеете!а то совсем поохуели ,как в аулах ведут себя",1,ru
в каждом времени свои спартаки и ленины,0,ru
"только после того, как из общей коробки, прилюдно уколят всех мэров, губеров, депутатов, и т.д.",0,ru
ирина спасибо большое за поддержку и добрые слова 🌸💋🌼,0,ru
"тошнит и рвать тянет только при виде этой мерзопакостной рожи, хари!",1,ru
ебанутые.... пиздец.. сколько не адекватных людей на планете... (md),1,ru
"как мне набрать еще 2 очка, чтобы открыть сундук",0,ru
"!как бирет пришол так и ушол,уебки.",1,ru
"есть проблема, когда долго работает пропадает звук, выкл и вкл работает опять, сумма ремонта составит 25 руб.",0,ru
"откуда только берутся эти безмозглые мрази,там что вообще адекватных людей не осталось",1,ru
"он и мне прислал пидар эту прокладку,alexandr shkodin ответил виктору напиши по теме.",1,ru
и ты ещё сучка с хойницкой трассы сюда лезешь ?,1,ru
идите вы на хуй со своей банькой зебали виртуалы,1,ru
"убил человека, и в данный момент отрицает свою вину , ну не гавно ли ?",1,ru
идиоты ебаные не знают с кого брать....,1,ru
!и тот и тот гнусный гомик!!,1,ru
"дааа,таких хватает,повороты не включают,пидарки!",1,ru
"уебище, напишите нормально,вы,что не наши что-ли?",1,ru
очень аппетитно и красиво смотрятся караваи,0,ru
"братское сердце,скорблю вместе с тобой!!",0,ru
меня интересует цена вот таких ворот и балкон.,0,ru
только и могут бла бла бла одним словом пиздеть умеет каждый а что конкретно сделал этот старый пердун?,1,ru
"какая милая бабуленька, улыбается, душа светлая и ручки золотые!",0,ru
в дальнейшем - заместитель начальника управления в московском метрополитене.,0,ru
это право если нет своей души чужую не понять,0,ru
"проголосовали за лебедя а он голоса отдад ебнутому,вот и вся правда.",1,ru
а после того как мне отказали даже в тех двух лимитных играх вынужден покинуть его т.к.,0,ru
никогда это время не настанет 🤣 как промывали кости сплетники-так и будут промывать дальше😝,0,ru
да так же пидор занял место и никому не уступаешь..,1,ru
"то , что она засовывпла, засунь себе в рот, ублюдок.",1,ru
"может соседи , могут дополнительную информацию о ворах?",0,ru
ну мразь... а не мужик и это стадо стоид любуюца... здаровья девочки.,1,ru
и везде вас отпиздила армянская диаспора.,1,ru
"у них электроника главное, а нам бы потискать, погладить, поговорить с котиком...",0,ru
"в моем детстве сестра спасла братишку, а сама утонула.",0,ru
"мот под стант стоит собрать не мало,ну и научится)))",0,ru
пиздец ебень чумазая.. сама типа на курорте в жару не соки с котелями пъёт..а кофе для работников тяжёлого труда))):(,1,ru
а тебе завидно ебанушька не всем как ты грузчиками ебашить чмо,1,ru
"согласитесь, никакие яхты и дворцы не способны придать привлекательности и благородства этой братии - ни дать-ни взять - романтики с большой дороги.",0,ru
этих уродов надо самих выкинуть из дома,1,ru
"да, я наверно читал о дипломатических контактах между ссср и японией, но честно говоря не помню - какие именно предложения японцы делали ссср.",0,ru
"так танцуй,это тебе не у жанны жопу лизать",1,ru
"и выворачивать твою жизнь тебе никто не предлагал, полуёбок ты задроченный !",1,ru
"вода называется вода, потому что она водянистая",0,ru
dигеvеsтпик смутноевремя интернете чем пишут в в про какое хуйло основном то да интернет надо отключать,1,ru
ты про кого все пишешь еблан,1,ru
особенный идеальный не значит идеальный всегда а не ты моя счастье любовь ты ое рооно пусть рядом он или на дальнем расстоянии ты человека чувствусшь душой,0,ru
"красиво:жизнь состоит в дарении.от немногих-многим.от тех,кто знает и имеет,-тем,кто не знает и не имеет",0,ru
"таких хозяев привезать за...., уроды",1,ru
"только год назад познакомилась с турецкими сериалами, больше ничего смотреть не хочу , турецкие, только турецкие!!!",0,ru
"только потому, что значек ух, ты, блядь!",1,ru
лукашенко и его холуи трусливые шизоидные пидарасы.,1,ru
"причем наша мука лучшего качества, вы ее выбирайте",0,ru
о в зч в оз о ч изменить поделиться иван холодильник мобильный в в вочбобб написать о ч бо бб о ч бо бб аудиозвонок развернуть б б в июл исходящий вызов мобильный о мин в сек,0,ru
"если болен , то нужно лечить , не выкидывайте малыша , подарите ему дом , ласку , уход !",0,ru
"возможность у них есть и финансы есть,а вот желания нет лучше карманы свои набить для них это важно",0,ru
на разных кустах может быть черемуха с разным вкусом.,0,ru
"а своим, пусть своеобразным, но трудом заробатывают.",0,ru
"с вилки такого маленького ребенка не кормят, мамочка!",0,ru
ты сука самый основной вор в россии.,1,ru
"скажите пожалуйста, в какую цену будет стоить эта красота в российских рублях?",0,ru
не было бы прогресса вы бы до сих пор на полях урожай в ручную собирали бы.,0,ru
дебилы и терпилы те кто своё мнение и позицию засунул себе в задницу,1,ru
вот потому скулят и стонут подонки всех мастей,1,ru
лучше бы дом творчества с внешней стороны отделали-для детей.,0,ru
"идиоты гитлер у власти был примерно столько, он по вашему тоже великий???",1,ru
вымышленный персонаж депутат виталий наливкин около года участвует шуточных роликах.,0,ru
техподдержка!наведите порядок .уже второй раз не могу пройти бонус на 30 звёзд.поле пустое-но спустя определённое время пишут-вы не прошли-повторите.теперь только через 4 часа.верните бонус сейчас,0,ru
