text,toxic,language
niggas don't do shit but feed me lies and I act like a believe em,1,en
Rashid khan proud to be an Afghan,0,en
Can I add to the beauty of the whiteness.!!!,0,en
I volunteer with Refugee Services of Texas and they are always looking for Spanish speakers. rstx.org,0,en
Come on SATIN pluck these idiot's from America TRUMP2020,1,en
Atheist(European/American) values are Christian values as well largely and show more of how the religion is currently and somewhat initially accepting.,0,en
Arab and her parents are also and their parents and great great grandparents etc etc,0,en
"Our prayers are with you may Allah protect you wherever you're, and return to your family safely. ",0,en
People like that don't deserve to be American!,1,en
I am a white man's whore,1,en
I'm a 9 year old proud Asian American women!,0,en
They were all fucked in the head and a very small minority,1,en
eu tbm pqp ela é tudo,0,en
we have an extremist problem u dumb bitch lmaooooooooooo girl u dumb as fuck,1,en
They're unfunny fags even without the chapo overlap.,1,en
The us woman's team is a fucking disgrace to footballs everywhere!!,1,en
"When I fuck your wife, she'll cum faster than a fat kid to a cake buffet #findom #cuck #paypig #paypet URL",1,en
I'd like to take turns fucking both your pussies,1,en
D haha what's the matter faggot did I hurt your gay feelings?,1,en
"Why y'all be recording these racist people , just beat they ass",1,en
These fake ass thugs got dirtier asses than guns,1,en
Go back to your country bitch,1,en
Honestly I kinda respect that I understand what it's like to have people judge you for being bisexual thanks for sharing,0,en
And yet some people still don't feel that educating young people about the LGBT community is important,0,en
"I have white friends who just don't get it, but we friends tho? Ok.",0,en
Another fake ass Christian piece of shit.,1,en
I have to call the gas company about a potential leak - Jen. I love her URL,0,en
This exactly why bey did this song. Such a powerful song. So empowering. Black energy definitely won here. Africa to the world!!!,0,en
navy picks up 400 en route to URL URL,0,en
Suck on those tits and proceed to titfuck you and cum on you afterwards,1,en
Middle East Reformed Fellowship seems to be doing great work in the Muslim world.,0,en
"This makes me feel validated. I'm slowly coming to terms with my sexuality, and this was nice to read. Thank you.",0,en
What be goin thru u dumb ass niggas heads huh?,1,en
He went from whistle blower to traitor nearly overnight.,1,en
It's interesting what so many of us view as masculine energy. URL,0,en
"In Wales, we’d just fuck them up.",1,en
LOL you want to suck Trump's dick and tickle his ball sack faget queer,1,en
"I would go home alone and pay for her uber, because real men wait until marriage.",0,en
I was raised in a family where women made it happen .... with or without a man .,0,en
We learn a lot when we have to survive terrible times - I believe we can also learn a lot when we love learning....,0,en
Should have whooped those racist mayos,1,en
real bitch go hard for they nigga,1,en
The only people that should talk about color are the artists that try to capture each of their perfect beauty! URL,0,en
Jesus how fucking autistic are you hahaha,1,en
"I like to socialise its nice to socialise with people in Lithuania, I am black guy.",0,en
"Welcome to the Dumbfuckistan, a police state where nothing is more important than making sure Dear Leader isn't yelled at or ridiculed for being a racist piece of shit.",1,en
"Be careful your own bitch will fuck her neighbor while your at her house waiting for her, fuck you talmbout",1,en
It was jolly cooperation to spread Christ word!,0,en
Your IQ is somewhere in the low 20s if you think this LGBT garbage is JUST about homosexuality.,1,en
Probably because of shitty rapists using GHB to attack women,1,en
"Please help support nonbinary / lesbian pride, add a now! URL",0,en
Mexico will crack down on their southern border and deport these people. They have no choice,0,en
"Speaking of Chik Fil A, we're buying all those and giving them to any LGBTQ person your sick cult leaders tortured with conversion therapy.",1,en
Support Black Trans youth URL,0,en
She need to clorox her crotch cause she is full of shit!,1,en
Too many brown people were flooded into America by the j€ws.,1,en
Women: it's time we support other women!  URL,0,en
"I think that's a really accurate quote, we should feel comfortable speaking out against people with blatantly racist, anti-white male sentiments",0,en
Great job! Happy week to you from a heterosexual exmormon!,0,en
"Not ""everyone"", but most people. I'm bisexual and I've been dating this great guy for nine months. He's the sweetest person I've ever met.",0,en
"Yes, I know. It's nice having people who don't scream slurs at you all the time for being LGBT or Jewish.",0,en
Such strong female role models,0,en
"Love the pure joy on his face when he says ""rugly"" at 0:18!",0,en
Good then stay in you fucking country,1,en
This is so cute. Happy pride month everybody. today is my official coming out of the closet as bi!,0,en
RT ilovegoodsthingx Lady Gaga,0,en
Muslims think they're going to take over the world !,1,en
I would gladly go to India and torture these fuckers to death myself.,1,en
Secretary of State said that the will create a new international body to campaign for freedom. URL,0,en
My blood pressure just went fucking ape,1,en
Alhamdulillah for another blessed day,0,en
They are brave women who are breaking through boundaries. They are destroying nothing.,0,en
