text,toxic,language
ये MC सुल्तानपुर में सिनेमा के टिकट ब्लैक करता था।साला जेबकतरा है तुम भी उसी बिरादरी से हो क्या।,1,hi
ChennaiSuperKings के कुल 13 सदस्य कोविड-19 टेस्ट में पॉजिटिव पाए गए थे। IPL2020,0,hi
I - Italian N - नंगी C - कमीनी और कॉमेडियन P - पार्टी,1,hi
TaalThokKeLive: ZEE NEWS की मुहिम को मिला जनता का समर्थन IAmSushant पर ट्वीट करें LIVE-,0,hi
"ट्रिनबागो नाइटराइडर्स ने लगाया जीत का 'परफेक्‍ट 10', आंद्रे रसेल खाता भी नहीं खोल सके - CPL2020",0,hi
TheCinemaShow ‘फौदा’ के राइटर की ‘तेहरान’ का ट्रेलर आया ‘दी बैटमैन’ रॉबर्ट पैटिन्सन कोविड पॉजिटिव ‘दी लंचबॉक्स’ की स्क्रीनिंग पर अमेरिकी दर्शकों का इरफ़ान को सम्मान कंगना ने मुंबई को POK बताया तो बॉलीवुड ने मज़बूत जवाब दिया,0,hi
न्‍यूजीलैंड के ऑलराउंडर जिमी नीशम ने एक पाकिस्‍तानी फैन की बोलती बंद कर दी -,0,hi
बिहार में कोई दल अपने बूते चुनाव जीतकर सरकार बनाने की स्थिति में नहीं: सुशील मोदी,0,hi
"लखनऊ के प्रतिष्ठित कॉन्वेंट स्कूल 10वीं की छात्रा ने भगवान गणेश पर बनाए आपत्तिजनक मीम, हिंदुओं के प्रति नफरत से है भरी पड़ी। कान्वेंट में पढ़ें या कम स्टैण्डर्ड स्कूल में शुरुआत तो मदरसे से ही होती है। जहाँ ज़्यादतर ज़ाहिल ही शिक्षा देते है?",1,hi
"उत्तर प्रदेश के मुजफ्फरनगर में 20 वर्षीय युवक की गला घोंटकर हत्या कर दी गई , पुलिस ने इस मामले में 2 लोगों को किया गिरफ्तार UttarPradesh",0,hi
जस्टिस एच आर खन्ना के फैसले से बदल गया था केशवानंद भारती केस का रुख KesavanandaBharati SupremeCourt JusticeHRKhanna,0,hi
"नवलनी को मिलिटरी ग्रेड का एक नर्व एजेंट दिया गया है. एक ख़ास तरह का नर्व एजेंट, जिसका नाम है- नोविचोक. रशियन भाषा में नोविचोक का मतलब होता है, न्यू Guy. नया आदमी. सोचिए, तड़पाकर मारने वाले एक ज़हरीले रसायन का नाम नया आदमी है.",0,hi
"विस्थापतों की सामूहिक आत्महत्या के पीछे की जो कहानी, वो काफी चौंकाने वाली है। जहाँ पाकिस्तान में हिन्दुओं की दुर्दशा किसी से छिपी नहीं है, वहीं अब जब वो भारत आकर शरण लेते हैं फिर भी उन्हें तमाम दिक्कतों का सामना करना पड़ता है।",1,hi
ये सांसद नही टपोरी है साला,1,hi
"अगर सुशांत मानसिक बीमार था, तो मौत से 4 दिन पहले वो बिजनेस डील कैसे कर रहा था? देखिए 'पूछता है भारत' अर्नब के साथ रिपब्लिक भारत पर LIVE :",0,hi
जब पूरी मीडिया चोर और बदमाश मुल्लों के लिए छाती पीटती है तब तब यही क्यो नही कहता बड़ा माहौल का खयाल है तो एक बार जो सुअर मन्दिर में तोड़फोड़ कर रहे थे उनसे तो कुछ नही पूछ पा रहा है अब जब प्रशासन घुस रहा है तो फट गई,1,hi
. के अध्यक्ष पूज्य महंत श्री नृत्य गोपाल दास जी महाराज के कोरोना संक्रमित होने की सूचना प्राप्त हुई। उन्हें त्वरित चिकित्सकीय सुविधा उपलब्ध कराने हेतु मेदांता अस्पताल के डॉ. नरेश त्रेहन से वार्ता की है। प्रभु श्री राम से उनके शीघ्र स्वास्थ्य लाभ हेतु प्रार्थना है।,0,hi
सुशांत सिंह राजपूत के केस में हर रोज़ एक नया खुलास होता है और एक नया बयान सामने आता है। SushanthSinghRajput SushantSinghRajputCase,0,hi
"कप्तान बोले- अभी युवा, सीखने में समय लगेगा INDvNZL",0,hi
"दोस्तो सब लोग एकजुट होकर एक साथ खड़े हो चाहे वो जिस भी चीज का भी पढ़ाई कर रहा हो ,क्योंकि ये सरकार हम युवा छात्रों बेरोजगारों की कुछ नहीं सुन रही और नहीं सुनेगी।",1,hi
गोडसे सावरकर मैं समलैंगिक संबंध थीं उसके वेशभूषा में आए हो कहीं समलैंगिक तो नहीं हो,1,hi
"हॉन्ग कॉन्ग में एक व्यक्ति में दोबारा कोरोना का इंफेक्शन हो गया था. वैज्ञानिकों और डॉक्टरों का इस बारे में कहना है कि इस व्यक्ति की जेनेटिक सिक्वेंसिंग की गई है. इससे पता चला है कि उसे जो दो बार इंफेक्शन हुए हैं, वो अलग-अलग वायरस से हुए हैं.",0,hi
महाराष्ट्र में क्या हो रहा है ये तो मुझे नही पता पर हां ये जरूर पता है वहां अब हिंदुत्व खतरे में है शिवसेना और उद्धव ठाकरे ने हिंदुत्व से समझौता कर लिया है। भगवान उद्धव को सद्बुद्धि प्रदान करे,1,hi
"अगर बच्चा पैदा करना व्यक्तिगत अधिकार है, जिस पर रोक नहीं लगाई जा सकती तो फिर उनके भूखे रहने पर सरकार जिम्मेदार कैसे है? अल्लाह की बात करते है लेकिन हिंदू मंदिरों के पैसे से हज करते है सबसे प्यारे राम हमारे जय श्री राम सर्वप्रिय योगीजी Nation With Modi मेरे राम",1,hi
"बेगुनाह लालू यादव को जमानत नहीं, हत्या बलात्कारी(कुलदीप सिंह सेंगर)को उम्रकैद में मिली ज़मानत, हमनें पहले ही कहा था,बीजेपी बलात्कारियों को गंगाजल से पवित्र करके गोद में बिठा लेती है,,,/// अकेला",1,hi
अब कोई भी राज्य बिना केंद्र सरकार की इजाज़त के अलग से लॉकडाउन नहीं लगा सकता. अंतर्राष्ट्रीय एयर ट्रैवल अभी भी बिना की इजाज़त के संभव नहीं. Unlock4,0,hi
और जब सज़ा मिलेगी तो सबसे पहले तू ही रंडी रौना करेगा,1,hi
"इस्लाम में किसी के भी साथ सेक्स और हलाला जायज है, चाहे वो आम्मी हो, बहन हो, बेटी हो, बहु हो, भाभी हो, चाची- मामी हो, 7साल कि बच्ची हो या 70 कि बुढ़ी बस औरत हो, जिंदा हो या मृत हो, औरत न मिले तो बकरी हो, कुतिया हो जो भी उपलब्ध हो। जनसंख्या जेहाद",1,hi
मुहर्रम के लिए छूट है पर गणेश उत्सव में कुछ लोग मूर्ति विसर्जन को भी जाय तो पाबंदी । तेलंगाना सरकार को शर्म आनी चाहिए।,1,hi
RheaChakraborty के दिल्ली वाले बैंक अकॉउंट की डिटेल निकाली गई SushantSinghRajputCase CBI,0,hi
यह पूरा बच्चन खानदान मौकापरस्त लोग हैं देशद्रोही आएंगे तो साले कमीनी,1,hi
"किसान,मजदूर कभी गुलामी नही करते कुत्ते, गुलामी तो तेरे चमचे करते,जो नही करते उन्हें तू बाहर निकाल देता,कमीने,गद्दार गुस्सा बहुत है,तेरी कमीनी हरकतों पर मुझे दल्ले, हर हर महादेव",1,hi
उत्तर प्रदेश में कुशीनगर हवाई अड्डे से लगभग 2 महीनों के भीतर अंतर्राष्ट्रीय उड़ानें शुरू हो जाएंगी। पश्चिमी उत्तर प्रदेश का कुशीनगर न केवल बौद्ध सर्किट का केन्द्र बिन्दु है बल्कि दुनिया भर के बौद्ध मतावलम्बियों का तीर्थ स्थल भी है।,0,hi
"बिहार: मुजफ्फरपुर के बाद गया में चमकी बुखार का प्रकोप, 10 दिनों में आठ बच्चों की मौत Bihar",0,hi
"हीर खान जैसी बाजारू औरतों के खिलाफ एक ग्रुप बनाना चाहती हूं ,कौन कौन है जो इस हिन्दू बहन का साथ देगा , मुझे फॉलो करके कमेंट में राधे राधे लिखें ,सबको फॉलो बैक देकर ग्रुप में शामिल करूँगी।",1,hi
"बिहार का मुज़फ्फरपुर ज़िला. यहां 35 बरस के एक आदमी का शव तीन दिन तक फांसी के फंदे पर लटकता रहा. जब कमरे से बदबू आई, तो उसकी बहन ने पुलिस को बुलाया. कमरे का दरवाज़ा तोड़ा गया, तब पता चला कि आदमी की मौत हो चुकी है.",0,hi
"आपराधिक घटनाओं को अंजाम देने के लिए भाड़े पर हथियार देने वाले गिरोह का पर्दाफाश, पुलिस ने कई सप्लायरों को दबोचा ABPBihar",0,hi
उद्धव ठाकरे शिवसेना को उसी ऊंचाई पर ले जाना चाहता हैं! जहाँ राहुल गांधी कांग्रेस को पहुंचा चुका हैं😂,1,hi
"COVID19Update: भारत ने पिछले 24 घंटों में 65,081 रिकवरी (ठीक होने की दर) दर्ज की जबकि 69,921 नए मामले दर्ज किए गए पिछले 24 घंटों में, 819 मौतें रिपोर्ट की गईं",0,hi
"ये रहा आईपीएल-2020 का शेड्यूल. देख लीजिए, आपकी फ़ेवरेट टीम का मैच किस-किस दिन है.",0,hi
जीडीपी खाने से पेट नहीं भरा क्या टिक्की से ज्यादा चटपटी थी जीडीपी हमारी पूरा चट कर गये 😡,1,hi
"झूठे पाक का UNSC में स्पॉन्सर टेररिज्म का झूठा मुद्दा एक बार फिर बेनकाब हुआ...जबकि UN में कोई मीटिंग ही नही हुई इमरान, 3 बार के भूतपूर्व PM को तो भगोड़ा घोषित करते है...लेकिन FATF के भय से लखवी,मसूर, D इब्राहिम को सरंक्षण देता है टेररिस्ट से प्यार करने वाले झूठा आरोप लगा रहे है",1,hi
"आपूर्ति श्रृंखला के लचीलेपन पर ऑस्‍ट्रेलिया-भारत-जापान के मंत्रियों की बैठक मंत्रियों ने स्‍वतंत्र, निष्‍पक्ष, समावेशी, गैर-भेदभावपूर्ण, पारदर्शी, और स्थिर व्‍यापार त‍था निवेश माहौल का समर्थन किया:",0,hi
मोदीजी ने Economy बर्बाद की है तो कुछ सोच समझकर ही कि होगी,1,hi
"क्या बे कटुए कुत्ते, तू क्यों भौंक रहा है?? पोर्किस्तान के निवासी",1,hi
लोक जनशक्ति पार्टी की बैठक में फैसला हुआ है कि 143 विधानसभा सीटों पर उम्मीदवारों का ऐलान किया जाएगा और जल्द से जल्द लिस्ट सेंट्रल पार्ल्यामेंट्री बोर्ड को भेजी जाएगी। चुनाव में गठबंधन से संबंधित फैसले पार्टी प्रमुख करेंगे। BiharElections2020,0,hi
"जब से ने चीन के राजदूत से मुलाक़ात की है तभी से चीन में उइगर मुस्लिमों पर अत्याचार बढ़ा है... मूस्लिमो की अपनी पार्टी होकर भी ने इस अत्याचार के खिलाफ कोई आवाज नही उठायी है, इस दुष्टता का बदला मुस्लिम भाइयों को 2019 में कांग्रेस से लेना ही चाहिए 😛",1,hi
"Ji Sir. Media420 की नमक हरामी की हद तब पार हुई ,जब पाकिस्तान में नाबालिग हिंदू बच्ची का मुस्लिम ने अपहरण करके उसे इस्लाम धर्म अपनाने के लिए मजबूर किया , इस बारे मे ना तो मीडिया ने मुंह खोला और ना ही सरकार द्वारा कोई ठोस कदम उठाया गया",1,hi
NationalEducationPolicy सिर्फ पढ़ाई-लिखाई के तौर तरीकों में बदलाव लाने के लिए नहीं है बल्कि सामाजिक और आर्थिक जीवन को भी नई दिशा देने वाली है। नई शिक्षा नीति AatmaNirbharBharat के विजन को नई दिशा देगी : प्रधानमंत्री NEP2020,0,hi
विकास गायब नहीं है तेजी से भागने का प्रयास किया विकास का एनकाउन्टर हो गया हैविकास गायब है,1,hi
गुंडा गर्दी का आलम ये है की अब राज्यसभा को भी नहीं छोड़ा जा रहा हैं. पाप पार्टी के लीडर किस दोगले को रखा हैं रे केजु साला कुकुर को गांड मे पेट्रोल डाल देना चाहिए.. ShameOnYou पाप पार्टी,1,hi
मुख्यमंत्री योगी आदित्यनाथ ने कोविड-19 की अभी तक कोई भी वैक्सीन उपलब्ध नहीं है। हमारे पास सबसे कारगर उपाय ज्यादा से ज्यादा लोगों की टेस्टिंग करना है।,0,hi
इसका मतलब अमिताभ की रगों में नेहरू का खून दौड़ रहा है 🤣🤣 साला परिवार है या छेदन।।,1,hi
सेकंड फेज़ की ये परीक्षाएं 14 सितंबर से होनी हैं. परीक्षाएं ओपन बुक होंगी. यानी इनमें छात्र जवाब देते समय किताबों या नोट्स का सहारा ले सकते हैं.,0,hi
"शिक्षक दिवस पर मेरठ की टीचर को मिलेगा राज्य पुरस्कार, प्राइमरी स्कूल की बदली दशा और दिशा TeachersDay Meerut",0,hi
"BREAKING | दीपेश सांवत को मुंबई के स्थानीय कोर्ट ले जाया जा रहा है, देखिए रिपब्लिक भारत पर LIVE : YouTube live TV:",0,hi
"आईटी मंत्री रविशंकर प्रसाद ने मार्क जकरबर्ग को पत्र लिखा, कहा - फेसबुक के कर्मचारी PM मोदी के प्रति अपशब्द कहते हैं",0,hi
15 लाख से अधिक लोगों ने लिया कोविड-19 स्पेशल बीमा सुरक्षा कवच: इरडा प्रमुख via Coronavirus HealthInsurance Covid19,0,hi
ये टट्टू का पठ्ठा हैं कमीना 😡😡😡😡,1,hi
"कोविड-19 के संबंध में राहत आयुक्त कार्यालय में राज्य स्तर पर स्थापित एकीकृत आपदा नियंत्रण केन्द्र के टोल फ्री हेल्पलाइन नंबर- 1070 पर प्राप्त 1,20,022 काॅल्स में से 1,19,604 कॉल का निस्तारण किया गया है: ACS, गृह व सूचना, श्री जी",0,hi
RT उमर खालिद पर तो UAPA लगा दिया! कपिल मिश्रा को शांति का नोबल पुरस्कार कब मिलेगा? 🤔,1,hi
"एक नचनिया के अवैध निर्माण पर कार्रवाई से बीजेपी, दलाल मिडिया, संघियो,में भगदड़ मच गई सोचो अडानी और अंबानी बेचीं गई सम्पति की जांच हो जाये तो क्या हाल होगा।",1,hi
"सुप्रीम कोर्ट के फ़ैसले से ये साबित” कर दिया, कि सरकार का मतलब “तानाशाही” नहीं होता है......प्रशांत कनौजिया को बधाई.",1,hi
"3,300 करोड़ रुपये के नए निवेश प्रस्तावों को जल्द मंजूरी, 5,000 लोगों को मिलेगा रोजगार निवेशकों के प्रस्ताव पर मुख्य सचिव की अध्यक्षता वाली इंपावर्ड कमेटी ने दी संस्तुतियां",0,hi
कहासुनी: रिया चक्रवर्ती के वकील ने कहा है कि वो गिरफ़्तारी के लिए तैयार हैं क्योंकि उनके ख़िलाफ़ 'फ़र्ज़ी अभियान चलाकर उन्हें बेवजह निशाना बनाया जा रहा है.' आप इस बारे में क्या सोचते हैं?,0,hi
"आज सुबह सीहोर जिले की इछावर विधानसभा के चेनपुरा, नाप्ली , भड़ेली गावों में आक्सीजन जांच अभियान चलाया गया और प्रत्येक गांव में उसी गांव के निवासियों को पार्टी के तरफ से आक्सिमत्र की जिम्मेदारी भी प्रदान की गई। . . . .",0,hi
"जब हमारे देश में उच्चस्तरीय डॉक्टर्स है, पैसे वाले लोग अपना इलाज कराने विदेश क्यों भागते हैं ये तो हमारे डॉक्टर्स का अपमान है🤔",1,hi
"नारकोटिक्स ब्यूरो मुंबई के बड़े ड्रग डीलर्स फारूख शेख उर्फ फारूख बटाटा, उसके बेटे सैफ और शादाब, बकुल चंदेरिया पर शिकंजा कस रहा है. SushantSInghRajput",0,hi
BCCI बड़ी मुसीबत में फंस गई है HindiNews,0,hi
"महाभारत युग में पांडवों ने बिहार के इस जगह बनाया था सुरंग, आज वहां स्थानीय लोग करते हैं खेती Mahabharat Bihar",0,hi
RT वालीवुड वालों ने गद्दार हिजड़ो की फौज बना रखी है क्या 🤔 कंगना के स्पोर्ट में वॉलीवुड का - कोई - भी भाड़ नही आया 🤔 - यह सब…,1,hi
कांग्रेस की दी जाने वाली भीख अब नहीं मिल रही होंगी 😂🤣😂,1,hi
"पटना: लालू, तेजस्वी को एक और झटका, तेघड़ा राजद MLA विरेंद्र कुमार JDU में शामिल Patna BiharAssemblyElections2020 RJD JDU VirendraKumar",0,hi
इस सूअर को जल्दी हूरों के पास भेज दो,1,hi
"अखबार के मुताबिक, AnkhiDas ने के कर्मचारियों के लिए बने ग्रुप पर अपनी पोस्ट में लिखा था- हमने उनके सोशल मीडिया कैंपेन के लिए अलख जगाई और बाकी अब सब इतिहास के पन्नों में दर्ज है. 30 साल की जमीनी मेहनत से भारत से सरकार पोषित समाजवाद खत्म.",0,hi
"दिल्ली में जो सूअर मंदिर में घुस कर देवी देवता को तोड़ दिया ,उसपर क्या action लोगे। वहाँ से एक 17 साल का हिन्दू लड़का को भी मुल्लो ने अपहरण किया है। लेकिन तुम झारखण्ड वाले चोर को न्याय दिलवाना ।",1,hi
लद्दाख के चुमार में चीनी सैनिकों के घुसपैठ की कोशिश को भारतीय सेना ने नाकाम किया ! चीनी सेना की 8 बख्तरबंद गाड़ियां भारतीय सीमा में आ रही थी !,1,hi
"राम....जीवन है, राम.....करुणा है,राम.....मर्यादा है, राम के नाम पर “हत्या” करने वाले “राक्षसों” इस विराट धर्म को “बदनाम” और “छोटा” मत करो.",1,hi
लम्हे लम्हे ज़िन्दगी गुज़रती गयी शिकवे शिकायतों की कड़ियाँ जुड़ती गयी।,1,hi
संजय सिंह वही गुंडा है जिसने अपनी बीवी को कुत्तों से कटवाया था.. गुंडा तो यह जन्मजात है.. संजय सिंह गुंडा है,1,hi
अवतारवाद इस्लाम है इसलिए उनके गुर्गे राम कृष्ण मन्दिर पर जोर दे रहे है जबकि हिन्दू शिव शक्ति के रूप में माता पिता को पूजता है।काशीविश्वनाथ पर आज तक rss चुप क्यों है? शिव शक्ति का कोई कार्यक्रम rss क्यों नहीं करता? प्राचीन तो शिव मन्दिर है न ओर अयोध्या में भी शिवलिंग मिला,1,hi
"हिंदुओं के “साम्राज्य” में हिंदुओं का पलायन, सारे “छत्रप” कहाँ हैं,अगर सपा बसपा या “कांग्रेस” की सरकार होती,तो अभी तक पूरी सरकार को हिंदू “विरोधी” घोषित कर दिया जाता.",1,hi
मतलब युवा दलाली करते है लेकिन किसकी? वो तो खुद रोटी के लिए संघर्ष कर रहे है सर,1,hi
ज़ुबानी जंग में Y+ श्रेणी की सुरक्षा मिली अगर मार पीट हो जाती तो राफ़ेल भी मिल सकता था,1,hi
भारतीय शास्त्रीय संगीत के विश्वविख्यात नाम पंडित जसराज जी के निधन की दुखद ख़बर मिली। शास्त्रीय संगीत कला को पंडित जसराज जी एक नए आयाम पर लेकर गए। ऐसी महान दिवंगत आत्मा को प्रभु अपने श्री चरणों में स्थान दें और उनके अनगिनत चाहने वालों को इस दुख को सहने का साहस दें।,0,hi
कपिल शर्मा शो में का खुलासा ‘ छप चुके थे कार्ड और गाने लिखने की वजह से टूट गई शादी ‘ TheKapilSharmaShow,0,hi
केजरीवाल सरकार की प्लाज़्मा थैरेपी बचा रही है कोरोना मरीजों की जान। दिल्ली में प्लाज़्मा डोनेट करने के लिए कॉल करें 1031 पर। DonatePlasmaSaveLives,0,hi
"मोदीजी और जब सारा देश सेना के साथ खडी है, पर दो सयाने विदेश मे पडे है?🤔 इसलिए बोलते हैं विदेशी मां का बेटा कभी देशभक्त नहीं हो सकता👍",1,hi
केंद्रीय मंत्री रविशंकर प्रसाद ने फेसबुक के सीईओ मार्क जकरबर्ग को लिखा पत्र। फेसबुक इंडिया की टीम पर लगाया राजनीतिक विचारधारा के आधार पर भेदभाव करने के आरोप।,0,hi
"लद्दाख : जिस चोटी पर चीन के कब्ज़े की कोशिश भारतीय सेना ने कर दी नाकाम, कितनी अहम है वह चोटी",0,hi
"दीपेश और मिरांडा के खुलासे के बाद रिया की बढ़ी मुश्किलें, डिलीट हुई व्हाट्सएप चैट पर NCB की नजर",0,hi
इस हरामी की सदस्यता रद्द की जाए ... कल के कल .. वरना ऐसे कमीने बहोत है ... SanjaySingh,1,hi
"पूर्व अंतरराष्ट्रीय खिलाड़ी, मंत्रिमंडल में मेरे सहयोगी, श्री चेतन चौहान जी के असामयिक निधन का व्यथित कर देने वाला समाचार प्राप्त हुआ। प्रभु श्री राम, श्री चौहान जी के परिजनों को इस अपार दुःख को सहने की शक्ति एवं दिवंगत आत्मा को अपने श्री चरणों में स्थान प्रदान करें। ॐ शांति",0,hi
"169 दिनों बाद चल पड़े दिल्ली मेट्रो के थमे पहिए, यात्रियों के चेहरों पर दिखी रौनक- DelhiMetro",0,hi
"आजम खान की पत्नी व बेटी के साथ बलात्कार होता , तव आजम खान वयान देते कि ये विपक्ष की साजिश हो सकती है तो ज्यादा वेहतर होता?",1,hi
"अभी शाम को मुझे एक कांग्रेसी चमचा मिला और बोला ""अंध भक्त कैसे हो?"" मैंने कहा ""रांड भक्त से अंध भक्त अच्छे होते हैं"" बेचारा मुँह फुलाए चला गया कितना भी रोक रुकहि नहीं😜",1,hi
पूर्व राष्ट्रपति प्रणव मुखर्जी का पार्थिव शरीर अंतिम संस्कार के लिए ले जाया जा रहा है। PranabMukherjee,0,hi
