text,toxic,language
"अखबार के मुताबिक, AnkhiDas ने के कर्मचारियों के लिए बने ग्रुप पर अपनी पोस्ट में लिखा था- हमने उनके सोशल मीडिया कैंपेन के लिए अलख जगाई और बाकी अब सब इतिहास के पन्नों में दर्ज है. 30 साल की जमीनी मेहनत से भारत से सरकार पोषित समाजवाद खत्म.",0,hi
"We want citizenship, we want all our rights. We don't trust them. We will return only if international protection is in place. URL",0,en
"только потому, что значек ух, ты, блядь!",1,ru
похоже ты сам из пиздосранска какогото дятел,1,ru
किसकी बात कर रही ये वही अखिलेश हैं जिनके बाप 149 निर्दोष कारसेवकों पर गोलियां चलवाईं,1,hi
а меняются именно на этой азс крайне редко!,0,ru
ज़ुबानी जंग में Y+ श्रेणी की सुरक्षा मिली अगर मार पीट हो जाती तो राफ़ेल भी मिल सकता था,1,hi
"ट्रिनबागो नाइटराइडर्स ने लगाया जीत का 'परफेक्‍ट 10', आंद्रे रसेल खाता भी नहीं खोल सके - CPL2020",0,hi
"रोजगार माँग ले जो,हम गद्दार लिख दिये जाते है मोदी तेरे राज में हम, खुद बर्बाद लिख दिये जाते है तु बेऔलाद है तुझे कहाँ मालूम बेरोजगारी का गम युवा तो है पर घर पे अब मक्कार लिख दिये जाते है",1,hi
"अभी शाम को मुझे एक कांग्रेसी चमचा मिला और बोला ""अंध भक्त कैसे हो?"" मैंने कहा ""रांड भक्त से अंध भक्त अच्छे होते हैं"" बेचारा मुँह फुलाए चला गया कितना भी रोक रुकहि नहीं😜",1,hi
"I think that's a really accurate quote, we should feel comfortable speaking out against people with blatantly racist, anti-white male sentiments",0,en
"Born Indian, grown in UK, married to an European and consider myself a truly universal being.",0,en
техподдержка!наведите порядок .уже второй раз не могу пройти бонус на 30 звёзд.поле пустое-но спустя определённое время пишут-вы не прошли-повторите.теперь только через 4 часа.верните бонус сейчас,0,ru
чтобы настоящему туристу быть в восторге ему достаточно быть в походе.,0,ru
you can have anyone you want in your wedding party. goes for straight weddings too.,0,en
"भारत ने एक दिन में सबसे अधिक जांच करने का एक और ऐतिहासिक रिकार्ड बनाया पिछले 24 घंटों में 10.5 लाख से अधिक कोविड जांच की गई सभी राज्य/केंद्र शासित प्रदेश 140 जांच/ प्रति दिन/मिलियन से अधिक कर रहे हैं, जैसाकि विश्व स्वास्थ्य संगठन का सुझाव है विवरण :",0,hi
"हिंदुओं के “साम्राज्य” में हिंदुओं का पलायन, सारे “छत्रप” कहाँ हैं,अगर सपा बसपा या “कांग्रेस” की सरकार होती,तो अभी तक पूरी सरकार को हिंदू “विरोधी” घोषित कर दिया जाता.",1,hi
здохла твая мать шлюха да и хер с ней что черви сажрали как и тваего пилараса атца)))😂😂😂,1,ru
And by a catty whore bitch.,1,en
The shooters ARE NOT immigrants. Think about that.,0,en
ну мразь... а не мужик и это стадо стоид любуюца... здаровья девочки.,1,ru
HE GOT SO FAWKIN TAN  URL,0,en
Credit applications ask about your citizenship!? I think citizenship has nothing to do with racism.,0,en
मौत सामने होते हुए भी लोग फौज की ऩौकरी नही छोडते वही कुछ कमीने अखबार पढ कर देश छोडने की बात करते है़ं..!,1,hi
I am indian Ingland won the world cup final,0,en
i told myself i was gonna incest in my makeup more this summer ...lets see how this goes,0,en
"убил человека, и в данный момент отрицает свою вину , ну не гавно ли ?",1,ru
Real christians use to stone mother fuckers to death so just let that sink in,1,en
Atheist(European/American) values are Christian values as well largely and show more of how the religion is currently and somewhat initially accepting.,0,en
"бля менты вы отдавайте такое блядство в руки пацанов!а сами отвернитесь как вы умеете!а то совсем поохуели ,как в аулах ведут себя",1,ru
"मेरे मददगार रोहित ने कल बताया उसके घर राशन खत्म हो गया था,आज सुबह मेरी बेटी ने उन्हें राशन का सामान दिया ❤❤ एक दूसरे कि मदद से हीं इस विपदा से निपट सकेंगे। जरूरी समझना ये है कि लाँकडाउन खुलने के बाद अब वो कमा के खा सकेगा, मगर वो सिलसिला दोबारा अब से शुरू होगा 🙏🙏",0,hi
कांग्रेस की दी जाने वाली भीख अब नहीं मिल रही होंगी 😂🤣😂,1,hi
"какая милая бабуленька, улыбается, душа светлая и ручки золотые!",0,ru
Better to be an Ottoman revivalist than a Nazi Kurd.,1,en
никого пластичней чем волочкова на кол ее и джигурду рядом,1,ru
Saudi Arabia and United States of America : Open Sana'a Airport for Commercial Flights - Sign the Petition! URL via,0,en
Am trans. Can confirm it's sweet.,0,en
"сайт для вахтовиков, работяг , а не для поноса бандерлвского.",1,ru
That pussy needs to get wrecked,1,en
जीडीपी खाने से पेट नहीं भरा क्या टिक्की से ज्यादा चटपटी थी जीडीपी हमारी पूरा चट कर गये 😡,1,hi
"цены снижал сталин почти сразу после войны ,а за 20 лет правления современных правителей я регулярно узнаю о повышении цен на все ну и газ в том числе ведь его продают во все страны ,а россиянам дороже всех.",0,ru
"बेगुनाह लालू यादव को जमानत नहीं, हत्या बलात्कारी(कुलदीप सिंह सेंगर)को उम्रकैद में मिली ज़मानत, हमनें पहले ही कहा था,बीजेपी बलात्कारियों को गंगाजल से पवित्र करके गोद में बिठा लेती है,,,/// अकेला",1,hi
"Serving black girl magic, melanin goddess, nubian queen realness good LORT.",0,en
Fun fact: Only respecting women that you're attracted to isn't respecting women.,0,en
कपिल शर्मा शो में का खुलासा ‘ छप चुके थे कार्ड और गाने लिखने की वजह से टूट गई शादी ‘ TheKapilSharmaShow,0,hi
They're just mad they didn't get to rape her.,1,en
"आपूर्ति श्रृंखला के लचीलेपन पर ऑस्‍ट्रेलिया-भारत-जापान के मंत्रियों की बैठक मंत्रियों ने स्‍वतंत्र, निष्‍पक्ष, समावेशी, गैर-भेदभावपूर्ण, पारदर्शी, और स्थिर व्‍यापार त‍था निवेश माहौल का समर्थन किया:",0,hi
особенный идеальный не значит идеальный всегда а не ты моя счастье любовь ты ое рооно пусть рядом он или на дальнем расстоянии ты человека чувствусшь душой,0,ru
आज के दिन भारत में एक कलंक मनहूस व्यक्ति की जन्म हुई थी जिसने पूरे भारत को बर्बाद कर दी जितने सरकारी संस्था थी अपने मित्रों के हाथ बेच दी देश को 100 साल पीछे धकेल दी,1,hi
I'll kick that hoe in her chest,1,en
"इस्लाम में किसी के भी साथ सेक्स और हलाला जायज है, चाहे वो आम्मी हो, बहन हो, बेटी हो, बहु हो, भाभी हो, चाची- मामी हो, 7साल कि बच्ची हो या 70 कि बुढ़ी बस औरत हो, जिंदा हो या मृत हो, औरत न मिले तो बकरी हो, कुतिया हो जो भी उपलब्ध हो। जनसंख्या जेहाद",1,hi
People like that don't deserve to be American!,1,en
возможна доставка в нижний тагил но по 100% предоплате.,0,ru
जस्टिस एच आर खन्ना के फैसले से बदल गया था केशवानंद भारती केस का रुख KesavanandaBharati SupremeCourt JusticeHRKhanna,0,hi
"और गेंडा स्वामी तुम ज्यादा ज्ञान मत पेलो की को क्या कर रहा है, साला तुम सत्ता में आने के लिए 15-15 लाख का प्रलोभन देकर देश की जनता को दोखा दिया और तुम बोलते हो की, कोंग्रेस वो कर, फलानी वो कर रही है पहले खुद में झांककर देखो साहिब की अपन क्या कर रहे है।सुवार से भी बत्तर हो तुम लोग",1,hi
This is why I'm defecting to Sweden.,0,en
उद्धव ठाकरे शिवसेना को उसी ऊंचाई पर ले जाना चाहता हैं! जहाँ राहुल गांधी कांग्रेस को पहुंचा चुका हैं😂,1,hi
"сейчас окажется, что за рулём машины ефремова был водитель.",0,ru
"हॉन्ग कॉन्ग में एक व्यक्ति में दोबारा कोरोना का इंफेक्शन हो गया था. वैज्ञानिकों और डॉक्टरों का इस बारे में कहना है कि इस व्यक्ति की जेनेटिक सिक्वेंसिंग की गई है. इससे पता चला है कि उसे जो दो बार इंफेक्शन हुए हैं, वो अलग-अलग वायरस से हुए हैं.",0,hi
"вода называется вода, потому что она водянистая",0,ru
"это вышка,на которой меня поднимали тысячи раз.",0,ru
"हलाला की औलाद मुताह के बीज सुअर, चल अभी निकल",1,hi
"возможность у них есть и финансы есть,а вот желания нет лучше карманы свои набить для них это важно",0,ru
We mexicans are friendly and always eager to help others have a good time!,0,en
real bitch go hard for they nigga,1,en
"где-то - как в европе (это для себя любимых), а где-то осталось как и сто лет назад",0,ru
"Petrol Diesel Price: आज रही शांति, जानें अपने शहर के दाम via PetrolPrice DieselPrice",0,hi
"In Wales, we’d just fuck them up.",1,en
फिलहाल क्या किसी का एक झांठ उखाड़ लेगा तू अबे साले फस गया फिर भी तेरे अभी बदतमीजी बंद नहीं हो रही है तेरी गांड में तेल लगाकर पुलिस डंडा डालेगी तब तेरी भाषा सही होगी कुत्ता साले माफी मांगने के लिए कह रहा हूं साले उस पर तुम्हारा दिमाग नहीं जा रहा है जिससे तुम्हारी जिंदगी बच जाए,1,hi
ओर बाहर जनता कमिनी कांग्रेस कि धज्जीया उडा रही हे चरणचाटो,1,hi
LOL you want to suck Trump's dick and tickle his ball sack faget queer,1,en
вот потому скулят и стонут подонки всех мастей,1,ru
"झूठे पाक का UNSC में स्पॉन्सर टेररिज्म का झूठा मुद्दा एक बार फिर बेनकाब हुआ...जबकि UN में कोई मीटिंग ही नही हुई इमरान, 3 बार के भूतपूर्व PM को तो भगोड़ा घोषित करते है...लेकिन FATF के भय से लखवी,मसूर, D इब्राहिम को सरंक्षण देता है टेररिस्ट से प्यार करने वाले झूठा आरोप लगा रहे है",1,hi
"भारतीय राजनीति में करीब पांच दशक लंबे सफर में प्रणब मुखर्जी ने जिस तरह की स्वीकार्यता हासिल की थी, वो कम ही लोगों को नसीब होती है. पढ़ें नेटवर्क18 समूह के मैनेजिंग एडिटर ब्रजेश कुमार का ब्लॉग..",0,hi
RT दलालो मिडिया को आज पता चला घर उजड़ने का दर्द क्या होता है आदिवासियों के घरों पर बहुत बुलडोज़र चलाये दल्लो को नही दिखे आज…,1,hi
You got fucked like the lil slut you are?,1,en
Reflw t on my dick you hot thing,1,en
"पटना: लालू, तेजस्वी को एक और झटका, तेघड़ा राजद MLA विरेंद्र कुमार JDU में शामिल Patna BiharAssemblyElections2020 RJD JDU VirendraKumar",0,hi
" Uh, 51% of women who seek a first abortion were using contraception in the month they got pregnant.",0,en
"а своим, пусть своеобразным, но трудом заробатывают.",0,ru
"कप्तान बोले- अभी युवा, सीखने में समय लगेगा INDvNZL",0,hi
Congratulations Pakistan.. Love from uganda,0,en
на разных кустах может быть черемуха с разным вкусом.,0,ru
вымышленный персонаж депутат виталий наливкин около года участвует шуточных роликах.,0,ru
and you believe your stupid little conspiracy cult?,1,en
इस हफ़्ते के Neta Nagri में अर्थ व्यवस्था और GDP पर ख़ास फ़ोकस.. SSC/Railway exams पर नज़र और भारत चीन का मसला.. देखना ज़रूर!,0,hi
"COVID19Update: भारत ने पिछले 24 घंटों में 65,081 रिकवरी (ठीक होने की दर) दर्ज की जबकि 69,921 नए मामले दर्ज किए गए पिछले 24 घंटों में, 819 मौतें रिपोर्ट की गईं",0,hi
"идиоты гитлер у власти был примерно столько, он по вашему тоже великий???",1,ru
зачем уже так писать.. охуели совсем... автор ты.. гандон.,1,ru
"напиши мне в личку,а там видно будет возможность и отношения",0,ru
"आईटी मंत्री रविशंकर प्रसाद ने मार्क जकरबर्ग को पत्र लिखा, कहा - फेसबुक के कर्मचारी PM मोदी के प्रति अपशब्द कहते हैं",0,hi
написала и выставила а рецепта нет кабачков ой икры.,0,ru
"You know: areas where y'all ( you know, members of your Fucking culture ) CHOP the arms off of ( Humans ) ?",1,en
не было бы прогресса вы бы до сих пор на полях урожай в ручную собирали бы.,0,ru
меня оскорблять за правдивую информацию это нормально.,0,ru
говорите да что вы столе я танцевала в на трусах да вы рано ушли,0,ru
разве убийца детей может быть переговорщиком ?,0,ru
"Ji Sir. Media420 की नमक हरामी की हद तब पार हुई ,जब पाकिस्तान में नाबालिग हिंदू बच्ची का मुस्लिम ने अपहरण करके उसे इस्लाम धर्म अपनाने के लिए मजबूर किया , इस बारे मे ना तो मीडिया ने मुंह खोला और ना ही सरकार द्वारा कोई ठोस कदम उठाया गया",1,hi
Go back to your country bitch,1,en
I HAVE TO GO BUY ANOTHER FAGGOT DETECTOR BECAUSE OF javyerland RUN AWAY!,1,en
о в зч в оз о ч изменить поделиться иван холодильник мобильный в в вочбобб написать о ч бо бб о ч бо бб аудиозвонок развернуть б б в июл исходящий вызов мобильный о мин в сек,0,ru
ये क्या हो रहा हैं मुंबई में पाकिस्तान जिंदाबाद के नारे लगा रहे है अब ब इनको देशभक्त मनु साले सब आतंकवादी ह कोई ब भई कहने लायक नहीं हैं,1,hi
"вот так нужно всей страной,всем вместе.тогда меньше будет таких уродов.",1,ru
"Not ""everyone"", but most people. I'm bisexual and I've been dating this great guy for nine months. He's the sweetest person I've ever met.",0,en
идите вы на хуй со своей банькой зебали виртуалы,1,ru
Middle East Reformed Fellowship seems to be doing great work in the Muslim world.,0,en
लम्हे लम्हे ज़िन्दगी गुज़रती गयी शिकवे शिकायतों की कड़ियाँ जुड़ती गयी।,1,hi
She was a whore who craved multiple cocks in her cunt.,1,en
I'd like to take turns fucking both your pussies,1,en
"Speaking of Chik Fil A, we're buying all those and giving them to any LGBTQ person your sick cult leaders tortured with conversion therapy.",1,en
"कोविड-19 के संबंध में राहत आयुक्त कार्यालय में राज्य स्तर पर स्थापित एकीकृत आपदा नियंत्रण केन्द्र के टोल फ्री हेल्पलाइन नंबर- 1070 पर प्राप्त 1,20,022 काॅल्स में से 1,19,604 कॉल का निस्तारण किया गया है: ACS, गृह व सूचना, श्री जी",0,hi
यह पूरा बच्चन खानदान मौकापरस्त लोग हैं देशद्रोही आएंगे तो साले कमीनी,1,hi
"Tell em shoot her in the face, bitch, I hate thots URL",1,en
"а поступить простому пацану в военное училище взятку просят пидоры, а тут пиздой генерала у аленевода получила",1,ru
Damn Slime you acting different yeah fuck yall hoes and niggas,1,en
*file under STOP TALKING ABOUT MUSLIM WOMEN'S BODIES*,0,en
"то , что она засовывпла, засунь себе в рот, ублюдок.",1,ru
Getting dicked down. URL URL,0,en
"а у русских алфавит тоже пришлый, как и у многих народов.",0,ru
"बिहार: मुजफ्फरपुर के बाद गया में चमकी बुखार का प्रकोप, 10 दिनों में आठ बच्चों की मौत Bihar",0,hi
Liberalism is not a cult you twat.,1,en
Great job! Happy week to you from a heterosexual exmormon!,0,en
RT वालीवुड वालों ने गद्दार हिजड़ो की फौज बना रखी है क्या 🤔 कंगना के स्पोर्ट में वॉलीवुड का - कोई - भी भाड़ नही आया 🤔 - यह सब…,1,hi
if you don't shut your gay ass up,1,en
сами мы лохи........ дальше будет хуже...,1,ru
"सुप्रीम कोर्ट के फ़ैसले से ये साबित” कर दिया, कि सरकार का मतलब “तानाशाही” नहीं होता है......प्रशांत कनौजिया को बधाई.",1,hi
लद्दाख के चुमार में चीनी सैनिकों के घुसपैठ की कोशिश को भारतीय सेना ने नाकाम किया ! चीनी सेना की 8 बख्तरबंद गाड़ियां भारतीय सीमा में आ रही थी !,1,hi
"Wow, well done my beloved India.",0,en
These fake ass thugs got dirtier asses than guns,1,en
Would you be interested in a bisexual crossdresser. I give great head and would love to relieve your tensions. My fem name is Amber,0,en
Imagine taking this Zionist shithead seriously lol.,1,en
"हमने नए एप मौसम, दामिनी और रेन अलार्म लॉन्च किए: मौसम विभाग",0,hi
दोनों बीविओं ने तुझे छोड़ दिया ! जब एक इंसान कमीना बोले तो वोह पागल कहलाता हैं ! लेकिन जब पूरी दुनिया कहे तब मान ले बेटा की तू चू...या हैं!!!!,1,hi
Did some stick a Lego in your cunt?,1,en
а после того как мне отказали даже в тех двух лимитных играх вынужден покинуть его т.к.,0,ru
"получают те,кто не получил в июле и те у кого детям будет 3 года,рожденные в 2017 году.",0,ru
I don't condone it and I treat everybody like a piece of shit no matter who they are.,1,en
They're unfunny fags even without the chapo overlap.,1,en
"причем наша мука лучшего качества, вы ее выбирайте",0,ru
"газовая труба рядом, вода рядом.",0,ru
"i'm badder then you bitches , oh and fuck you too my sloppy seconds",1,en
"ну ты с умничал автор этой херни ты что один все в россии секеш ,амы уроды ну иди на диаллг",1,ru
सुशांत के लिए ड्रग्स मंगवाती थी रिया NCB की पूछताछ में ड्रग्स का कबूलनामा,0,hi
god i rlly do fucking hate some kfans.,1,en
Nigga u dumber then dummer that beat hard nahh bitch,1,en
"मोदीजी और जब सारा देश सेना के साथ खडी है, पर दो सयाने विदेश मे पडे है?🤔 इसलिए बोलते हैं विदेशी मां का बेटा कभी देशभक्त नहीं हो सकता👍",1,hi
eu tbm pqp ela é tudo,0,en
"Hazrat Mirza Masroor Ahmad ""Focus on those things that unite them"" ",0,en
Such strong female role models,0,en
"शिक्षक दिवस पर जी5 ला रहा इस सीजन की सबसे अनोखी फिल्म, संगीत के शागिर्द सुनाएंगे पुराना किस्सा ZEE5 AtkanChatkan AtkanChatkanOnZee5",0,hi
Honestly I kinda respect that I understand what it's like to have people judge you for being bisexual thanks for sharing,0,en
D haha what's the matter faggot did I hurt your gay feelings?,1,en
"и что это молодая страна уже раком пол мира поставила, и этих самых рокфелеров гавно заставило жрать во вьетнаме.",1,ru
"сгинь на хуй!задрала уже,-хули свой зад подставляешь,неудовлетворёнка?не нуждаюсь в отвоих ответах!что выложено-это для людей,а не для шавок подзаборных!",1,ru
"тошнит и рвать тянет только при виде этой мерзопакостной рожи, хари!",1,ru
Your IQ is somewhere in the low 20s if you think this LGBT garbage is JUST about homosexuality.,1,en
"जातिवाद पर वार: कंगना रनोट बोलीं- मेरी मां ने दलित बच्ची को गोद लिया था, बेटी की तरह पाल-पोसकर उसकी शादी करवाई, मैं इसी तरह के मॉर्डन इंडिया को जानती हूं KanganaRanaut",0,hi
"विस्थापतों की सामूहिक आत्महत्या के पीछे की जो कहानी, वो काफी चौंकाने वाली है। जहाँ पाकिस्तान में हिन्दुओं की दुर्दशा किसी से छिपी नहीं है, वहीं अब जब वो भारत आकर शरण लेते हैं फिर भी उन्हें तमाम दिक्कतों का सामना करना पड़ता है।",1,hi
"रिया और शोविक से चार घंटे तक पूछताछ हुई, पहले दौर की पूछताछ खत्म Sushantsinghcase JusticeForSushant",0,hi
"откуда только берутся эти безмозглые мрази,там что вообще адекватных людей не осталось",1,ru
"— благодарю за комплимент,— но не успела она проронить и слова, как рэй словно молния потащила леди к воде.",0,ru
संजय सिंह वही गुंडा है जिसने अपनी बीवी को कुत्तों से कटवाया था.. गुंडा तो यह जन्मजात है.. संजय सिंह गुंडा है,1,hi
"Welcome to the Dumbfuckistan, a police state where nothing is more important than making sure Dear Leader isn't yelled at or ridiculed for being a racist piece of shit.",1,en
"पिछले कुछ ही घंटों में अभिनेता अर्जुन कपूर, पहलवान दीपक पूनिया और कांग्रेस नेता दीपेंद्र हुड्डा के कोरोना पॉज़िटिव होने की ख़बर आई है. coronaupdate",0,hi
Title: Me! behind the scenes the story of Benjamin button Me: correct that with... the story of Benjamin button,0,en
"बुजुर्ग और निर्दोष साधुओं की हत्या में जो भी शामिल हो ,चाहे वो हिन्दू क्यूँ न हो, फांसी की सज़ा होनी चाहिए..👍 CBIForPalgharLynching",1,hi
"никому не нужный миша пылился на складе, и про него вспомнили только за рубежом.одна немецкая коммерческая фирма предложила выкупить мишу за крупную сумму денег.",0,ru
"कोराना दौर में प्लेसमेंट ऑफ़र वापस ले रही हैं कंपनियाँ, छात्र परेशान",0,hi
"लखनऊ के प्रतिष्ठित कॉन्वेंट स्कूल 10वीं की छात्रा ने भगवान गणेश पर बनाए आपत्तिजनक मीम, हिंदुओं के प्रति नफरत से है भरी पड़ी। कान्वेंट में पढ़ें या कम स्टैण्डर्ड स्कूल में शुरुआत तो मदरसे से ही होती है। जहाँ ज़्यादतर ज़ाहिल ही शिक्षा देते है?",1,hi
"अब वोह दिन दुर नही,🙄 जब हमको ये सुनने को मिलेगा ""मुंबई की ज़मीन जायदाद पर पेहला हक रोहोंगिया मुसलमानों और बाँग्लादेशी घुसपैठियो का""🤔",1,hi
а ты поп гапон заткнись свою родню агитируй,1,ru
подстрекатель родину гад не любиш .....,1,ru
we have an extremist problem u dumb bitch lmaooooooooooo girl u dumb as fuck,1,en
"3,300 करोड़ रुपये के नए निवेश प्रस्तावों को जल्द मंजूरी, 5,000 लोगों को मिलेगा रोजगार निवेशकों के प्रस्ताव पर मुख्य सचिव की अध्यक्षता वाली इंपावर्ड कमेटी ने दी संस्तुतियां",0,hi
Probably because of shitty rapists using GHB to attack women,1,en
Move your pathetic asses to Mexico then leave assholes,1,en
Women: it's time we support other women!  URL,0,en
"шла ты нахуй живи не обоснованная, я тебя блядину знать не знаю, ты тварь ко мне на ты, ещё и с оскорблениями",1,ru
"ये रहा आईपीएल-2020 का शेड्यूल. देख लीजिए, आपकी फ़ेवरेट टीम का मैच किस-किस दिन है.",0,hi
all that pussy nigga choose to eat her ass.,1,en
"сучка крашеная ну почему крашеная, это мой натуральный цвет.",1,ru
My blood pressure just went fucking ape,1,en
I would gladly go to India and torture these fuckers to death myself.,1,en
"потому что ты не ребенок , а алкаш",1,ru
"в каждом три духа нечистых,духа заблуждения; неразумия,глупости,лжи.",0,ru
i wanna pump 90 quadrillion loads into that disgusting lookin euro trash HIV asshole,1,en
"и выворачивать твою жизнь тебе никто не предлагал, полуёбок ты задроченный !",1,ru
भारतीय शास्त्रीय संगीत के विश्वविख्यात नाम पंडित जसराज जी के निधन की दुखद ख़बर मिली। शास्त्रीय संगीत कला को पंडित जसराज जी एक नए आयाम पर लेकर गए। ऐसी महान दिवंगत आत्मा को प्रभु अपने श्री चरणों में स्थान दें और उनके अनगिनत चाहने वालों को इस दुख को सहने का साहस दें।,0,hi
"земснаряд «gravel» 160 — плавучий, несамоходный, дизельный, палубного типа.",0,ru
And yet some people still don't feel that educating young people about the LGBT community is important,0,en
"дааа,таких хватает,повороты не включают,пидарки!",1,ru
"у них электроника главное, а нам бы потискать, погладить, поговорить с котиком...",0,ru
जिस तरह की घिनौना अपराध मेरे साथ की है यदि मेरी जगह कोई और सैनिक फैमिली होती तो पूरे फैमिली आत्महत्या कर लेती 33 साल की उम्र में सेना से बाहर कर लंगड़ा अंधा बना कर सड़क पर बिना पेंशन भीख मांगने के लिए छोड़ दिया शर्म नाम की चीज नहीं है तुम सबको,1,hi
हिंदूओं ❗.. तुम्हारी बहन - बेटियां जिम में बहुत मेहनत कर रही है और उन्हें सिखाने ने अफजल तो 👉 बहुत - बहुत मेहनत कर रहा है 😠😡😡.. आगे की कहानी सावधान इंडिया में अवश्य देखना तुम्हारा सर गर्व से ऊंचा हो जाएगा 👇😠😡,1,hi
उत्तर प्रदेश में कुशीनगर हवाई अड्डे से लगभग 2 महीनों के भीतर अंतर्राष्ट्रीय उड़ानें शुरू हो जाएंगी। पश्चिमी उत्तर प्रदेश का कुशीनगर न केवल बौद्ध सर्किट का केन्द्र बिन्दु है बल्कि दुनिया भर के बौद्ध मतावलम्बियों का तीर्थ स्थल भी है।,0,hi
"уроды, как можно таких красавцев просто бросить на улице.",1,ru
самый лучший шашлык который приготовил сам !,0,ru
ну я бы сказал что не только ссср но и до нынешнего времени некоторые фермеры их успешно эксплатируют,0,ru
"नारकोटिक्स ब्यूरो मुंबई के बड़े ड्रग डीलर्स फारूख शेख उर्फ फारूख बटाटा, उसके बेटे सैफ और शादाब, बकुल चंदेरिया पर शिकंजा कस रहा है. SushantSInghRajput",0,hi
आज China के राष्ट्रपति भारत में दो दिवसीय के दौरे पर आ रहे हैं. पीएम मोदी से शी जिंगपिंग की मुलाकात तमिलनाडु के Mahabalipuram में होगी. XiJinping TamilNadu ZeeHindustan,0,hi
Go choke on a bag of flaming dicks you little bitch.,1,en
"бабы брезгуют тобой,что ли?или ты уже не в состоянии стояния😅😅😅?ой бля,сколько же в руссопидорасии дрочеров,сука рашка😆😆😆",1,ru
Jesus how fucking autistic are you hahaha,1,en
2014 से पहले का हमारा देश भारत जिस पर हम सभी भारतीय गर्व करते थे लेकिन 2014 से ग्रहण लग गया है देश के भाईचारा अमन प्रेम को देश की तरक्की विकास को देश की गंगा जमुनी तहज़ीब को पाखंडीयो ने खत्म कर दिया अपनी दुकान चलाने के लिए देश को बेच दिया अपना झोला मरने के लिए गद्दारो ने साथ दिया,1,hi
там и читать нечего наверно по виду дамы,0,ru
"братское сердце,скорблю вместе с тобой!!",0,ru
बिहार में कोई दल अपने बूते चुनाव जीतकर सरकार बनाने की स्थिति में नहीं: सुशील मोदी,0,hi
a female icon...u lead the pack so ur backs to us,0,en
The us woman's team is a fucking disgrace to footballs everywhere!!,1,en
"., former school superintendent, makes a passionate case that unequal educational opportunity is a root cause of racial disparities in the U.S.",0,en
"а во втором ряду, вторая слева моя мама",0,ru
and  to be part of URL,0,en
केजरीवाल सरकार की प्लाज़्मा थैरेपी बचा रही है कोरोना मरीजों की जान। दिल्ली में प्लाज़्मा डोनेट करने के लिए कॉल करें 1031 पर। DonatePlasmaSaveLives,0,hi
