text,label
"У него явно вышел новый альбом...
",1
мерзость ...🙊,1
"делала,но как на фото не получилось. мало молока",0
(fr) :p (lo) коль конечно собери буду торговать берегись бабье,0
они ебанутые)),1
шок! слов нет. соболезную. скорблю. земля пухом. (((((((((((,0
не мешало бы еще морду разбить,1
"мрази их бы в воду скинуть и по ним стрелять и как им было бы,на суши попробуй его взять а не в воде,охотники ха,ха позор.",1
этого адвоката надо лишить лицензии за то что он занимается враньем придурок,1
убивать надо эту росгвардию,1
а где перчатки,0
рад за вас! действительно это было лучшее училище в наших вс. 1981 г.,0
"приехала из сада уже затемно ... обрезала лук , поливала цветы , усы прикапывала для знакомой , так полдня и пробежало.",0
овца безмозглая бесит,1
достойны уважения и восхищения !,0
надо ее удавить!,1
поймать и казнить ! 💀💀💀,1
охуевшая пчелка,1
"а я почему то не смогла установить саму игру ,или там еще дополнительно надо что то делать?",0
майданы незаконные митинги надо и жёстко давить максимально,1
"эта власть с гусеницами справиться, не может, раствором хоз мыла деревья поливают. и прокладка и для рта ижопы корона вирус победить хочет...., клоуны.... но не все же долбоебы извени те мозги же у некоторых есть, а кого нет это рабы... ,",1
"ублюдок,чтоб его так подвесили",1
ааааа они существуют 🙀🙀🙀🙀 я знал это .,0
"вот это член я понимаю,а не как у меня",1
я создаю своё прекрасное будущее!!!,0
"наверное такой же рак как и мы,который прожил свою жизнь",0
"пока морпепех мотал катушку(рыболовную),десаннт ебал его",1
"я одна , но я не одинока ! это самое главное !:-)",0
"да,проклятая семейка!хрен с их деньгами,украденными у народа,на который они смотрели как на быдло.все просрут внуки все равно.один только внучек боренька чего стоит-прожигатель жизни!жаль,что люди жрущие деньги так и не поймут зачем они пришли в этот мир,жизнь очень земная короткая,дальше гробик без карманов",1
"вероника, добрый день. можно мне тоже выкройку!",0
"кому что ближе..., только ничего не получится, караван как шел, так и будет идти своим путем, сколько этих умников ...спорить не буду ,я вообще не конфликтный человек, результат скажет сам за себя, посмотрим...",0
"назим, твоей маме хочется сказать што она плохого сына вырастила. мошенника, альфонса. позор.",1
на сходе обьяснят,0
да все правильно!!!!!!!😋,0
"ну ну, наемников расстреливают без суда и следствия.про амеров и прибалтов бабушкам в подьезде расскажешь тролль",0
"а для чего ты это выложил в сеть? не корысти ради помогаю, а пиара для?",0
"ужас, столько развелось этих тварей я бы им яйца с корнем вырывала уроды.",1
"устраивались возле телевизора,когда игра музыка программы время",0
"в белорусии готовит запад майдан, и наши чоповци яко бы арестовванные, нужны для лукашенко, что бы они смогли помочь батьке предотвратить переворот, там их переолденут в цивильную и пустят вычислять бунтавшиков с оружием , снайперов и прочие дела, по типу (крым наш)",0
"До Билайна лет 10 был Ростелеком, есть с чем сравнмть, плюсов у Билайна больше чем минусов на данный момент. За 5 лет только один раз был к ним вопрос по подключению нёх
",0
"а это не дело журналистов что-то там объяснять. прежде чем людей кидать в кутузку им должно быть предъявлено обвинение. какие законы они нарушили? забронировать номера в санатории раньше, чем купить билеты, это не преступление. может быть, это нелогичность, (если она действительно есть, а не придумана лукашенко) но не более . за это не арестовывают. и вообще, свою невиновность люди доказывать не должны. это те, кто их задерживает, должны предъявить обвинения. а обвинений кроме смехотворных одежды милитари и полная трезвость никаких нет. надо извиниться и выпустить. это если по закону. а если по батьке, то конечно расстрелять за терроризм.",1
я звонила только на соц гор линию мне сказали у них точной информации нет,0
"дура что ли, читать то умеешь или только писать, диалог о дотациях а не о хабаровске, тварь то ты недоделланная.",1
что то струдом верится,0
и и с о с о,0
"а пенсии какие, и зарплата у простых людей, достойная?",0
вы в тайшете ?,0
"шокирующие новости: вы как что нибудь пизданете, хоть стой, хоть падай. вы ебанутые???",1
"похоже надо вооружаться! пулю бы ему в этот момент пустить и он бы на последнем издыхании очень пожалел бы о своём поступке или в руку, в ногу, что бы неповадно было руки распускать против слабого",1
уже забрали,0
"адекватные аноны по Ебанутые животные
",1
"была 2 раза,такая реално глубинка,добираться нужно на внедорожнике,но это того стоит того,интересное место, и искупаться можно, и есть чем полюбоваться,даже детям интересно будет.",0
"обалдеть... мне тоже нравится этот коммент. надо на собственном опыте испытать, даже хотя бы потому, что я еще не видела загоревших блох )) :-d :-d :-d :-d",0
оболдеть чувство оболдеть,0
прибил бы,1
блин! ты тупой. совсем тебе всё сказали для дебила понятно даже или мне не хрена делать что-бы чтобы лично тебе оглашать? тебе лень? или дураку делать не херая тебе слуга что- ли или друг что- бы всё выкладывать на блюдце! ни о чём пишешь ещё оскорбляешь этим всё написал дураку . что зайди в викепедию набери название журнала и там все номинации лучший альбом . лучшие рок группы лучшие группы разных жанров всё есть! что же здесь расплывчатого? у меня времени нет а я на него тупого и наглого трачу!спасибо лучше сказал а он хамит идиот всю жизнь прожил не знает где и как узнать да на хрена тебе и музыка не нужна если пишешьчушь вото правильно говорится не делай добра получишь зло! или ты больной!? по-----ь захотелось видно не с кем,1
"с одной кормушки кормится !!! потому и имена фамилии не называет, кто то крадёт , ворует а он беленький как бы !!!!",0
как это не прискорбно..... но это так.....,0
"Поздравляю, Вы прислуга. Может быть видели плакат времён второй мировой: русишен швайне, приезжайте в рейх, там вас ждёт работа и достойная жизнь ?
",1
"Какое точное описание. Педофил-порашник 29лвл
",1
"норильчане - это особые люди. многое о них можно рассказать. прожив в норильске - талнахе 25 лет с душевной теплотой вспоминаю замечательных и красивых людей. в настоящее время живу в г. протвино,московская область. до сих пор поддерживаю общение с бывшими норильчанами. нгмк построил нам дом в этом городе. живем с соседями одной семьей. все радости и неудачи делим пополам. город норильск и норильчане - уникальны!",0
мне стыдно,0
так знакомые лица в толпе и есть главные зачинатели.,0
гавно пчелы гавно мед хороший хозяин муравьед,1
все пидарасы заскулили! значит в в путин все делает правильно!,1
только расстрел и чтоб не сразу сдох а помучился,1
какое ебнутое видео.,1
мука дешевая дрожжи копеечные вода есть и лень есть а добро делают не просят одобрения а просто делают:-(,0
"а сколько любви, терпения, труда в ложено в эту красоту! браво!",0
"конечно правильно, не сидели за компом не портили глаза и мозг не атрофируется.было весело.у детей вырабатывалась ответственность и трудолюбие.",0
:-d :-d :-d улица хуторская :-d :-d :-d там несколько домишек как дачи. сами убрать не в состоянии? 👎 👎 👎 #u6ebc59f6f7s#,0
"мы с женой сталкливались с такой проблемой и неоднажды. современные матрасы не удается отремонтировать. есть у нас все еще матрас из ссср, вот он у нас заклеенный и хорошо служит. хотя ему много лет! двух-местный! на воде надежно держит! извините, воспоминания о море нахлынули!!",0
мой номер 89030212724,0
"хороший поступок тот, о котором молчат!!",0
хрен не родилась та мразь,1
перевела 100,0
смотри как бы ща сама не пошла сабака тралёвачная..,1
"ты убогий, у тебя в штанах не больше чем в голове. мечтаешь??? ну хоть помечтай!!!😂 😂 😂 😂 😂 😂 😂 😂 😂",1
"эту шлюху, из асероссийского дома терпимости, надо лишить возможности права голоса, права свою морду на экране засвечивать.",1
ну да только через 5 дней если не спрячет,0
нужно затолкнуть ему в жопу не только руку но и голову,1
тупые и игра тупая,1
не ну а чё ??? просто изменим правило ! понедельник мож начался весело 😛у меня то почти вечер 17 ч скоро,0
долбоеби бля!,1
"есть мнение,что так инопланетяне нашу воду качают",0
фото рихаbау со пенсионном россии в фонде сделали заявление о введении нового пособия на детей до б лет в августе пособия на детей в возрасте до б лет которые ициировал президент россии ини владимир путин настоящий вызвали ажиот отаж у у родителей так ближе к концу июля многие россияне просили власти о как рассказали специалисты одного из органов пфр данный территориальных на официальных момент каких либо подтверждающих выдачу документов такой выплаты в августе нет напомним россии что о июне и июле в семьи с детьми в возрасте до б лет получили две единовременные о руб выплаты в размере тыс выплата ависимости начислялась вне за семьи если от уровня дохода в июне для необходимо получения средств,0
_не установленное количество- во блин-успели по карманам растащить.,0
ох. семь часов- это много. четыречаса удобнее. без воды сидим из-за электричества,0
"Шмароёб реально задолбал. Зачем он срёт этой шалавой? В одиночестве пусть шышку хоть до основания стирает, но нахуй она на автаче если у неё, блять, ДАЖЕ ПРАВ НЕТ?! БУНД блядь!
",1
вы че гондоны мало денег напиздели ещё какой-то вирус выдумали,1
все большие молодцы! такой замечательный концерт получился! главное участие! всем спасибо! ⭐ ⭐ ⭐,0
ваша позиция понятна с такими людьми нет желания разговаривать жаль вас и не надо мне писать хрень всякую не кто не ноет вы это всем скажите и хабаровску что они ноют дура больше как это слово к вам не подходит,1
"тварь тебе в аду гореть,без защитное животного обижаеш.😡",1
"я вертел тебя на члене,тем временем ты сосал у моего друга (fr) для нас твое очко унитаз ,куда мы сливаем сперму .расскажи всем , как ты у нас , голубушка милая , пользуешься успехом.одни в рот тебе пихают , другие зачетно твое очко сверлят .:-d 🌵 👍 (ch)",1
"Потому что ты латентный педик. На трапов еще наверняка дрочишь
",1
народные деньги против народа,0
"💥 знаменитая предсказательница - успех и богатство придет к вам, возьмите в привычку носить... храните его в дома или носите при себе. вы навсегда забудете о проблемах с деньгами. 👉 http://bit.ly/2s1jegt",0
расстреливать таких мажоров,1
в лс пожалуйста.,0
но это же пидор,1
"это буквоеды:-dкак лёня...а есть ещё и снобы,которым хочется сказать...сыми очки,протри и снова их одень...их это в ступор загоняет...им надо видите ли-надеть и снять...:-)",0
"скажим просто. полный прозападный пидорас.эта гнида спасая себя пойдет на все. хочеш в круживных трусиках ходить, раздвигай булки.типичная гнида коммунистическая.",1
"матушки, завтра годовщина смерти моей мамы. помяните её в храмах. людмила.",0
и не толстеют!,0
"франшизовые пояса лишние, пояс должен быть один от организации",0
ну да прям бабуле лайки нужны:d,0
"спасибо,мы стараемся:$ :)",0
я на легковой также делаю и не пропускаю этих пидоров,1
подбрасывли девчонок на высоту более 12 метров! стандартная высота пятиэтажки 15 метров. здоров пи...ть!!!,0
"всё чаще кто то кого то вычеркивает, и подчеркивает другого, спустя маленько, подчеркнутый вычёркивает того, кто его подчеркнул, и теперь вычеркнутый сожалеет, что подчеркнув этого, вычеркнул первого и т.д",0
я бы еи сосодилбы,1
у кого страна россия.лично у меня нет в паспорте отметки что я русский как и у вас мы живём в оао эрэфия,0
"за*упу на воротник, и х*й на шляпу!!! россия кому, чего, отдаст!!! тем более территорию, всё закон и конституция не позволяет!#u9b079a3836s# #u9b079a3836s# #u9b079a3836s# да и россия не укропы, это те раздают и продают себя как шлюхи подзаборные.",1
ради лайков взяли?,0
я думаю только ебанутым стыдно лайкать такие фото,1
верно хорошее слово и нам приятно,0
они стирильные.люди помогите!!!!,0
пошел нахуй московский холп сука ты забыл наверное что ваш триколором шли в бой власовци так пидр сначала уберите вашу тряпку,1
"Эх, через два месяца буду в Челябинске, но город посмотреть не смогу, ибо проездом. Уже пожалела, что не взяла билеты с учетом возможности прогулки по городу.
",0
"поздравляю! хлопот много, а радости больше. терпения и сил тебе, дорогая. у меня была двойная и старшей 2,5 года, все выросли, чего и вам желаю",0
оба пидорасы конченые .,1
"тамара, поздравляю с днем рождения!!! желаю тебе здоровья и хорошего настроения.",0
"бэйл, конечно, будет играть....но он быстро выдыхается...есть такая физика у игроков и с этим ничего не поделаешь, это как стайер не может бежать на длинные дистанции...зидан его ценит, было бы смешно держать такого игрока и не выпускать на игру....",0
да что ж такое то! они мрази запрограмированные ох...и совсем что ли???....,1
"вот такой блядь идиот,весь патриотизм гасит.вы думаете его день победы интересует,и другие патриотические праздники,.да нет ,же......деньги.да еще его дети ,наверняка учаться за границей.силуанова ,козла отпущения нашли,.да что творилось в 90г,то полдумы можно обнародовать,кто они ?",1
привет! красавица. где находишся такая красивая.,0
надо мальчика кастрировать🙂,1
"у дзёмгинского окрас другой, тёмно коричневые пятна и он в возрасте уже..",0
"боже, милостив буди мне грешней! 🙏🙏🙏😔",0
у него вещественные доказательства....,0
"А ты пробка если бы там было написано то что он прав он бы повернул двоих и развернул двоих или повернул 4рых сразу туповка ты. Если ты увидешь бабу в очках сразу скажешь бля у тебя бант по любому Петя был прав так сказанно а задаче
",1
"куколки красавицы! чаще улыбайтесь,радуйте мамочку!",0
закомплексованный подкаблучник( не в обиду),0
так. за плохую дорогу казнили бы.вот и держится по сих пор.жить охото было,0
"а качество напоминало тертый кирпич, лучше было молотое,но баночки завараживали",0
"когда вы не хотите принимать человека таким, какой он есть, то он начинает притворяться таким, каким вы хотите его видеть. это ваша проблема, а не его.",0
это люди которых дрочили в детстве чморили а теперь они вот так отрываются пида.... сы,1
2 ведра можно и как забрать?,0
"Барин стягает, русский терпит.
",1
вы все ещё сдаёте квартиру?,0
да больше двух и не влезет.,0
"классная блядь свинья. на свиноферму её, к хрякам!",1
а че без секса делать?трахать жену надо хорошенько пять раз кончит пиздец как любить будет,1
в регионах от 47 в москве от 88,0
это что за пидораст мужики на уху рыбы поймать не могут,1
чего смешного? кто свинью до того го довёл надо пиздануть.,1
лукашенко проститутка.....давно известно,1
доброе утро ухыбок часшbя радости хороших новостей vаиgl,0
"Скажите участковому, он её застрелит.
",1
сука был сука есть и сукой подохнет.,1
"дура дурой, везде свои рогатки раставляет, со всеми дерётся, гоните эту шалаву домой👎👎👎👎👎👎фу конченная.",1
передайте привет пидорасам которые придумали программу слива за бан в чате месяц в бане 47% побед до бана 55 % в 20 к боев и после этого вы говорите что мы не вмешиветесь в процесс игры? вы че долбоебы? или нас за долбоебов держите? ебитесь вы конем с ывашей честной игрой,1
михаил меченый пособник дьявала.сколько пакостей сделал ссср!,1
отказался так блять на выход суки совсем прихуели молодняк вы б так играли,1
чмошники позорные,1
"этого, шныря америки. давно надо загнать под нары?? сука , делает умную рожу. а пресует народ.пидараст сраный?!!",1
это в веселом,0
"бред какой то,препараты эти не очень дорогие..вот и не выгодно их продавать фарм.компаниям.они только дорогущие препараты рекламируют.вот и все .одна реклама это.",0
"красота просто великолепная, прям сказочно.",0
"ты долбоеб, серг. степан. уебок",1
"танюша они ещё не такие большие. пока ждём , пусть повзрослеют)))",0
сбербанк о чек по операции сбербанк онлайн операция перевод карты на карту с дата операции мск аbг оо б операции мску время номер документа бвббо статус операции выполнен успешно сумма операции руб з оо комиссия о со руб отправителы иb чз получатель карты зво авторизации код ччвв получатель платежа татьяна алексеевна платеж выполнен опгипе,0
с тулы в сторону рязани.до м6,0
сжечь её надо заживо что б другим неповадно было обижать простых людей,1
"господь всемогущий, силы светлые, помогите и дайте сил этому народу отстоять свои права. 🙏🏻 теплые эмоции вызывают хабаровчане. очищение от темных идет полным ходом, таких как путин и его приближенные. все больше и больше просыпающих с стране да и в мире. избавление от рабства и нечести.",0
она ебнутая,1
"отличная мера, можно было бы работать из дома, для людей с ограниченными возможностями самое то, как мне кажется",0
посадить ублюдка,1
да не будут жкх бесплатными.давайте будем реалистами,0
"скопление пидорасов,усов не хватает.",1
"ну дети не сорняк , родители отвечают за его образование.",0
"я не 1 раз лечила детей изофрой, от желтых соплей. брызгать надо по 3 раза в день, а до нее делать промывание носа. обычно дня 4 и соплей как и не бывало!",0
"​только последняя мразь типа хахаткина , делает вид что не знает какое количество мошенников и воров развелось за последние 20 лет ...!!!) страна превращена в полицейское государство во главе с молью ...но это ненадолго ...!!!",1
"псы позорные, пидоры конченые. да даже не начатые. расстрелять.",1
"только все орали что у учителей и медиков нищенские зарплаты, а теперь забеспокоились за их сбережения. хрень какая-то!",0
"урод конченный и давно его подвесить надо при народе,да на лбу написать -мразь",1
"Социальная иерархия иерархическая структура отношений по поводу распределения в обществе власти, собственности, доходов, престижа и других ценностей.
",0
размер бежевых шлепок?,0
"спасибо большое, но все оказались бесполезны...",0
с открытием моста кто-то обещал что в крыму и бензин подешевеет!? а он и в россии дорожает!?,0
суки! кто это сделал!!! гореть им в аду!!! 😖,1
"пошёл ты в жопу вместе со своим путиным, понял предурок",1
в обз мм с чпхоло,0
мне рассказывали что дети ростовских армян не приучены воспринимать критику...,0
"какие глаза у, игривые, или даже балованные, наверное с таким другом не соскучишься ☺",0
вот это дурь!,0
"заиграл я батько не хочет быть союзником россии, хочет быть партнёром.ну- ну... кто выиграет? ответьте, американские подкормыши.",0
зачем столько,0
в спортмастере бывает 3-4 варианта чешек на любой вкус. еще в галерее есть магазин для хореографии...там тоже хорошие..,0
спасибо )) будем надеяться на лучшее )),0
"нет, манько, со своей блядской семейкой можешь идти на три буквы.",1
"вы чё блядь ебанашки говна наелись,так и лезет из вас говно.до чего вы гнилью пропитанные.а еще считаетесь путинскими марионетками.плохому он вас научил.какие вы такой и ваш путин.........",1
"козлина поганая мало, чтоб ноги переломал себе, быдло",1
дали гаду пистолет- это вот такой предмет- что хочу- то и творю- вот котенка пристрелю. ну а люди- чтобы знали- вот кому оружье дали.......,1
ужас. как учатся дети,0
маме по башке побить...,1
такое же любопытство 😝,0
ми дадим слово товарищу берии. - растрелять!!!,1
из за таких тварей и другим нет доверия.,1
сдохни русский нацист-фашист!,1
со всего области 😂,0
не в китай блядь не в китай а тут переплавлятся,1
"покупаете обычную резинку,оттуда можно тихонечко выдернуть нитки,там несколько рядов.попробуйте,у меня получилось.",0
володе плохотнку.,0
"ты прав, как говорится таким хуя дохуя.",1
батяня показал свое рыло!,0
котёнка забрали,0
так мог говорить только очень неумный человек. т.е. дебил.,1
посвещяю своей крёстной землянцивой галине андреевне здоровье удачи и жить побогаче,0
интересно что за дебил эти вопросы задаёт?,0
а вы гнида !!!,1
"валентина, я тоже живу в сибири , в детстве так-же чистили молодые побеги, но лет пять назад получила сильный ожог ноги борщевиком, до сих пор нога болит",0
чтоб единопидоросню ветром сдуло и плишивого гомодрила в месте с космонавтами ам,1
для этого он и создан изначально.,0
"ВО во письмо наверняка хохлы не нравятся видите ли не нравится им руководство части ууух суки
",1
я тоже в поиске любимой,0
моральные путинские уроды пидоры.,1
всё брянское гнилое руководство.. расстрелять нах.....!,1
штаны снять и на кол,1
"У здоровых людей поступающую глюкозу перерабатывает свой инсулин, диабетикам нужно колоть дополнительный. Поэтому надо есть по расписанию, но при этом стараться не увеличивать лишний раз сахар. Из-за этого даже инсулинозависимые диабетики едят диабетические печеньки.) Одно дело сбить сахар с 6 до 4 при диете, а другое дело с 10 до 4.
",0
"да, действительно завтра будет ясно.",0
"люблю ее стихи, за душу берут.",0
"бред, вирусы сами не летают,а со слюной!а здесь работает принцип презерватива- сперматозоиды меньше ячейки латекса!!",0
позор и дальше всем вашим святошам и прочим гандонам из вашей церкви. не вижу вам смысла вообще в этой жизни-значит скоро вам пизда приснится.. -или сгинете суки-или придётся извиниться. пидорасы.,1
кошки в подьезде срут?,0
потому что бояться получить 😂,0
зачем эту руку куда то засовывать . надо просто ее отрубить . можно и обе,1
"это с расчетом,что не доживут до пенсии",0
"сам жил с такой это пиздец. и про разбросанные носки пусть в свои разброс санные стринги запихают.зато бля юрист сцуко своя кантора,а зацранка пипец просто заепло и ушел",1
вот такие берегини защитили ..отстояли отечество ..низкий поклон вам ангелы неба ..,0
что первым отправить,0
какой молодец красотища можно только помечьтать,0
"а я бы подружился с ней, влюбился бы в неё, и был бы её мужем, а тот хочет её трахнуть, мы бы с ней по уму бы их трахнули, и жили бы эти трахальщики, где нибудь на свалке, не имея жилья, и с запретом на устройство работы :d",1
согласна . но там уже шли отборочные среди 8 первых команд.главное.что мы с вами там были!!!!!,0
"сейчас нигде нет честных выборов. только может быть наши мнения и наши собственные выборы, но это вряд ли играет какую-нибудь роль в окончательном подсчете. интересно, вот если бы у нас лукашенко решил обнулиться, ,представляю, сколько бы навальных сразу обнаружилось. и сколько было бы разговоров, как это возможно !!!. а там наавльный не очень то выступал, проглотил все поданное блюдо холодным.",0
таких надо сразу расстреливать без суда и следствия и желеть нельзя развели всякую тварь они никогда не исправятся .,1
только выезд на дом у него платный,0
дед мазай в наше время👍👍👍👍👍,0
"соска и прошмандовка, конченная тварь.",1
а что то не так.гнилой твой рот,1
"расстрелять мысль хорошая,но пули тоже денег стоят а вот шкуру живьем с них содрать,уже бесплатно выйдет.",1
"здравствуйте! отозвались ли те,кто может проконскльтировать по технике дыхания бутейко? хотела бы напрямую связаться.",0
что самое интересное фукусиму им тоже пиндосы построили но как то через одно место :-d﻿,1
походу очередная жертва балабола песочного! ok.ru/profile/519397524921/album/835016678073/850112253625 ok.ru/dmitriy.sd.dimus3004/album/835016678073/850112253625,0
"динозавров не видел, а вас в обосраных пеленках застал.",1
не переживай шлюха лахтинская в такую яму с дерьмом в которой ты сидишь они точно не попадут ),1
семья-это смысл жизни человека. остальное- пыль...,0
уебок дырявый,1
"ссуки ебаные, больше сказать нечего, а этих накол подсадить",1
"левые радикалы нацисты
",1
похоже пиzда переделана из х¥я.,1
46 47 есть?,0
я бы добавила конфискацию. у их родственников. родителей жён любовниц детей,0
"приходит покушать на ул. космонавтов, около леса. появился после пожара на ул.южной.",0
