comment,toxic
ни че ни че мы подождём. он за курск ещё ответит. за все ответит. хуйло.,1
хороший цветник,0
"Да , не решился, хотя можно было. Только цоколь стоит 200 р. А Бреелайт лампа 80
",0
-тся блядь‼,1
абалдено классно,0
у меня есть 5000 маров . но скрин не смогу выложить,0
"ваших, серёжка, родителей , я назвала придурковатыми потому , что они верили, что их сынуля серёжка не станет коммунистическим дураком, но увы... прокляни их за это , серёжка , не стесняйся !",1
🌹🌿🌹🌿🌹🌿господи иисусе христе помилуй нас аминь аминь аминь,0
дима ...... как всегда суперррр\\,0
"ну если идиот, то тогда конечно, нечего обижаться. кукарекнет утром, людей разбудит, повеселит, животное грязноклювное... аха-ха-ха-ха! :-d 🐔 👉 👌",1
"чё за хуйня , какой она министр, вы хоть поинтересуйтесь кто у нас министр труда,а потом слюной брызгайте:-d :-d :-d",1
👍 жизнь ворам лигавым хуй,1
может он еще свою писю ей даст полизать ?)),1
"пока будут такие пиарные хамки, коронавирус не закончится. смысл было снимать все это, если сама нарушила правила целостности упаковки, для того, чтобы собрать в комментариях таких же тупых и необразованных? за полчаса съемки ей никто не нахамил, все действовали по предписанию, она же в свою очередь, пускала в ход нецензурную речь. для чего все это было устраивать? балаган!",0
бедная женщина. все стараются на ней заработать.,0
оксана добрый вечер можно купить 5 литров рябины если телефон привязан к карте могу денежку перевести,0
1.как животные попадают на улицу?,0
"проститутка лукашенко довыёбулася! он думал, всё ему смехуёчки! а вот не!!! это тебе не цацки пецки в жопу песочек!!!:-d﻿;-)﻿",1
это чё то же депутат.,0
"ВО во письмо наверняка хохлы не нравятся видите ли не нравится им руководство части ууух суки
",1
зачем снимать неприкосновенность растрелять их не прикосаясь и всё,1
твари просто твари! на леченее детей денег нет у виликой державы!. а фургало бандит? кто рожает вас дибилов?,1
амурские волны.....,0
"для этих фашистких поддонков надо вернуть смертную казнь, и растрелять, как изменников родины,прелюдно.",1
"Да. Говорят они с панчиным долбятся а ся смотрит на это и теребит свой шершавый вареник
",1
да жополиз он забылся из чьей чашки хлебает,1
"судьев пора расстреливать, твари подкупные",1
сбросьте пожалуйста и мне ссылку на пуффин. спасибо заранее,0
я на старости лет думал что уже не осталось таких долбоебов -ан нет еще живо быдло,1
а чем тут плох мастер?,0
"ну вот, после пиздюлины почти вложилась во время отведенное для ответа. но я тебе ещё сказал что срать надо больше. так что давай быстро и больше. выполняй, любка-существо безмозглое!!!!",1
"не понимаю, как можно такое фото, выложить в рубрикесмешно до слез.",0
"сломать палец и засунуть ей в одно место , и больше не повторит .",1
"кот думает, что это сарделька:-d﻿",0
и обуты не на ту ногу),0
првильно очень сказанно !,0
"а есть что-то похожее,(паутинкой) только без нижней кромки?",0
а как-же короновирус😜,0
этого похотливого урода сначала надо лишить причиндала ну а за тем посадить на кол,1
здравствуйте соскольки до скольки часов,0
иди нахуй отсюда шлюха ебаная путинская,1
"придурки. вас дурачут, а вы уши греете.",1
"пидор, какой еще координационный совет, который представляет горстку кретинов, стремящихся развалить свою страну?",1
урот их надо лишить родительских прав,1
"да их хоть на вертолет посади,какими были мудаками,такими остануться!",1
"красиво, но это не сосна, иголки короткие",0
бб игрок ограбил твой сектор б о оо осоо км расст сражение произошло в секторе ччб чво трофеи sч в озо ово потери потери олег гиманов ур з ядерная стратегиясур б нет войск стратегических войска артиллерия,0
"зря стояли и терпели, надо было бить смертельно😢",1
по вашему толка вы имейте честь? а все осталный народи не прав? украинцы хотели что их язык не пропал под вашему влияние.. и они имеет права зашитит свои язык и честь..вы уничтожали украинский язык веками..и они чут манкурт не стали..так что вы не прав. и белоруссии тоже поверил вам по братский.а вы их давит начинали..батя то не дурак.. так что ишите у себя виновных а не заграницей.,0
присунуть бы,1
"вера- (определение) ведание рекущих азъовъ. (ведани того что говорят азъы,то естъ что говорятъ предки,отъци,деды,прадеды",0
"слава богу и ане с наташей! девчонки, больше вам сил и удачи!!!",0
и пидарнуть надо было этого хохла.,1
хуй тебе на рыло а не деньги,1
"ну да , когда начали снимать , оператор видимо заранее знал , что она выбросит не то . сказочники",0
х*р лопатой загонишь,0
расстрел медведева и конфискации имущества у его родни принесёт в бюджет миллирды,1
пиздеть эту тварь надо,1
тварь ещё красуется,1
завали сасало свое пиздапроебаны,1
это называется одним словом - похуист.,1
"мартышка совершила преступление мартышка схвачена полицией и отправляется на бутылку лет на 10 свыня похрюкивает про неправильную реакцию общественности А какая реакция должна быть-то в цивилизованном обществе? Полиция и тюрьмы для того и есть, чтобы такое говно выцеплять. Если бы его отпустили, да, был бы повод для протестов.
",1
ебанутые на лысо!!!!)))),1
нашелся жив,0
кто эту шмару на тв пустил я не понимаю,1
хуеплёт,1
"конограй отслужил год, т.к ему уже было почти 27 лет, и беременная жена вторым ребенком. саша смирнов служил в штабе, родом из хабаровска, прекрасный и замечательный человек. я его заменил , а он меня стажировал. остальных не знаю.",0
перед падением с кровати ещё и яйца отрезать. таким нелюдям.,1
"много лжи, но есть и правда. но посмотрела, только 1 серию дальше все было предсказуемо. не впечатлило!",0
да было время,0
"зачем в дельфин, содержать его. на кол посадить на площади прилюдно и вся недолга.",1
готовьте коктели молотова жгите мразей что бьют народ!!!! жгите блядей !!!!,1
у вас подборы игроков пидарастические,1
"таких пидарасов и надо так учить, подвозомнили себя крутыми пидарасы ебучие, гореть им из века в век в аду",1
"блядь, намешали все в одну кучу, и белок и антибиотик и фенолы всякие. пол не прогорает интересно, если нечаянно капнуть?",1
блять вышла б замуж родила детей и растила бы в своё удовольствие а не красовалась.овца,1
опять стадо баранов бунтуют? че азеры очко горит? 🤣🤣,1
милая девочка!!!!!,0
"добрый вечер, сколько стоит выкопать картошку ? за 1 сотку",0
молодцы все. 👍👍👍,0
"Хороший найти еще надо.
",0
"дибил мы налоги платим, это наша гражданская обязанность, и эти твари живут на наши налоги, и должны защищать нас от ублюдков, а не наоборот. собака ебаная гавкаеш это ты.",1
я презираю тебя ты.никто от.тебя.жена.и.дети отказались позор такому президенту чмо если есть такая возможность передайте ему мое сообщение заранее большое спасибо,1
"не до конца, потом через окно , вместе с рамой вылетают, с воплями: там собака!",0
"а чё хотел-то? когда общение с незнакомыми людьми начинаешь со слова долбоёбы, трудно услышать в ответ спасибо.",1
фу бля пиздализ пилоточник хуев,1
"невероятно!!!животные лучше относятся дру к дпуну, чем люди!!!",0
его самого надо было бы расстрелять падлу,1
они не тупые нет они ебанутые,1
моральный урод таких надо сажать .,1
но я покупала не с оков а с приложения которое скучала для того чтоб купить вип. тоесть с браузера.,0
очень круто. продолжайте 👍,0
тебя только и научили в школе на паузе хуй сосать.,1
таких надо к стенке и стрелять,1
"ну блядь , если егеря , значит пиздить и прикапывать их будут в лесу.",1
классные сиськи.как тебя трахнуть.,1
догнать и оторвать уши.,1
"какие куклы зюганова???. зюганова сам марионетка. за него люди голосовали, а он власть ельцину отдал. ссыкун. трус.присмыкающий одноклеточный старик",1
это доказанные антиоксиданты 🐪,0
"тварь.это слабо сказано.эту суку шлюху подзаборную,вообще надо отдать народу чтобы ее растерзать.так и хочется по ее еблище сапогом 48 размера пройтись.и обоссать.тварь.ничтожество.придет их время.им скоро пизда придет.",1
"согласна,если выкладываешь фото оно должно соответствовать данному рецепту.",0
"Так варите еду для котов сами. Рыба сейчас продается любая.
",0
"если, на самом деле такой случай произошёл, то надо обращаться в суд. но, конечно, ни о каком заказе речи быть не может, кто она - лидер оппозиции, агент иностранной разведки?",0
дайте зелёный свет кадырову. для зачистки.,0
на кол рыжую тварь,1
"Но Трамп и в правда дегенерат. Жаль, что этот клоун победил и мы теперь живем в пиздеце. Блять, если бы Клинтон сейчас была у власти, то в мире не было бы такого трэша. В рот ебал промыток с альт-райтом головного мозга, вы же нихуя своей головой думать не можете, животные, мемов про сжв насмотрелись теперь строите из себя дохуя консерваторов.
",1
"гбдд будеть ебать тебя , а ты их.... 😀😀😀😀😀 ебитись....",1
врач гнида надо было добить его,1
"причины этого во многом объясняются в романе украинской писательницы галины тулуб людоловы. произведение очень многоплановое и основано на достоверных исторических фактах: и о смуте, и о запорожских казаках, и отношениях с османской империей, и об изгнания польских оккупантов из россии, и конечно же, о судьбах простых людей, живших в то время на территории, которая, в настоящее время, по иронии и ошибке исторического развития, называется украиной.",0
"какая-то пиздушная женщина,мужику шаурму запрещает ((",1
плёнки есть???,0
jзатиколенно,0
уебищще зделали из нормальной тачьки.,1
не надо выгонять надо растрелять,1
и получится 6.7 (шесть целых сем десятых),0
каляскэ ести,0
"ты вообще знаешь что такое война,уебок?",1
"что за падаль скот,таких детей в пизде надо душить уроды",1
"здравствуйте, девочки🌼",0
этот народ не воспитуем,0
"прибить её, тварь а не спортсменка",1
"правильно батька отшил путинских пендосов. которых хотел посадить в белоруссии. и обосрался, получив от ворот поворот. америкосов стал натравливать. а теперь не знает как обосрать. и начинает разводить смуту, засылая своих головорезов. у бати все хорошо, когда к нему сявки не лезут со своим уставом.",1
бей мусоров иих семьи,1
за ошибки правителей-долбоебов всегда расплачивается народ.,1
мразь и по жизненно.,1
"можно выпить сырое куриное яйцо или алкозельцер из аптеки и обязательно нужен контроль ад...известны случаи.когда с похмелья оно падает очень сильно и может быть даже летальный исход без оказания помощи медиков,впрочем также,как и скачок выше нормы.что также опасно для здоровья...",0
g железнодорохника днем с иназдником в жану стужу дождик и jлафик движенья нужен случам веским комеса под гчизом и гудий днем и ночью жемезка,0
"карантинный маразм пройдет , приезжайте.",0
"а путин фуражку главнокомандущюю одел, или я пропустил",0
"Крестьяне, вы почему тред засрали? А ну поддать донатов, Костику на мотоцикл не хватает
",1
"отпиздить прилюдно, а вообще грохнуть самым зверским способом!!!",1
если 14 раз победили...то почему ни разу стамбул не захватили...???? долбоеп когда пишешь прежде думай ...дебил...)))),1
"это точно, что забудеш куда едете.",0
"отправила, спасибо за обмен",0
"Какая ... отвратительная рожа...
",1
молитва для пиздонутых (а других не бывает) кацапов! https://site.ua/pan.konotop/27371-hava-nagila--ot-belok-i-zamanuh-ot-lyashka/,1
"Смысл аппеляции именно в том, чтобы отменить судебное решение о списании долга
",0
"бредятина.приехали диверсанты в полном обмундировании и компромитирующими документами. или сейчас все так и делается? шпионы приезжают и орут ,что я шпион. пошли они все нафиг, нам мозги засерают .смотрят на реакцию людей.",0
спасибо за мастер класс.мне понравился принцип вязания.спасибо.,0
хер в рот тому поэту кто пишет здесь хуиню про ссср долбоящер сраный,1
с праздником десантура,0
"к стати о внуках,по конституции рф от 1993 года статья 13 п 2 (никакая идеология не может устанавливаться в качестве государственной или обязательной.) . статья 29 п5 ( запрещена цензура, в том числе, нравственная цензура ). сегодня молодежи наплевать на родину,им революцию подавай. сми все больше привлекает молодежи,к либералам и пятой колонне. но это же наши дети,наше будущее. государству российскому по конституции рф от 1993 года запрещено заниматься воспитанием детей.",0
это правильно есть такие люди дерьмо,1
хуйню не неси перда тогда пердак ты,1
"Тут-то Ебжен и пригодится. Не думаю, даже с его жирной ряхой 16 оппозицинеров ему не заменить, пятерых максимум
",1
в рф ты тупой,1
так пойдёт?????,0
"спасибо огромное,людочка! все интересно!!!",0
эта чучундра ваще тварь,1
"если на моей земле то я и думать не стану,порублю на кусаку и родственникам отправлю.",1
а уголь зачем сьедаеш,0
"😭 чтобы эти люди ,сдохли",1
ебать ты петух,1
"вот вам заслуженная мразь россии, пропил все, о совести не говорю, там ее не было никогда....",1
на вилы их и к стенке.,1
это вы шавки купленыею а люди уже месяц наверное не просто так погулять вышли,1
"спасибо, мариночка. подсквжите, пожалуйста, концентрацию раствора фундазола.",0
"таких уродов по кускам разрывать надо,пока о смерти молить не начнут...как их земля носит😢",1
мне было 13-лет.счастливое было время!!!,0
абсолютно правильные слова,0
"вы что? ебанулись??? в стране нет ни образования, ни мозгов, ни медицины!!! еще хуй во флейту превратите!!! долбоёбы!!!",1
заслуженно!!!,0
да-а уж...правы ребята-везде хватает уродов и отморозков...👎 👎 👎,1
расстрелять нахуй надо таких министров а не уволить,1
cупер класс!,0
пидарасы просто пидарасы,1
какая прелесть!!!🥰,0
"таня, верхний, или нижний???",0
"Не зря, вас, хохлов, свиньями кличут. Вы и есть грязные животные, не способные к любви, привязанности, благодарности. Очень радостно видеть, как ваше правительство лижет жопу ЕС, в итоге получая новые порции фекалий, пережёвывает их беззубым ртом, а потом говорит - ещё! У вас самые дешёвые шлюхи в ЕС, да их и столько, что каждому двачеру из Европы достанется.
",1
"еб....ы,рот не разивала бы хамло",1
"это просто не укладывается в голове, как назвать этих тварей, гестаповкие застенки. этих тварей надо четвертовать",1
правой,0
если бы маманя не сидела с пацаном.может эта дура меньше гуляла.трахалась и рожала.они больше ничего в жизни делать не могут.,1
завтра большой праздник ильи пророка! советую-сходи в храм. может отпустит тебя.,0
"Нравятся мне такие знатоки кузовного ремонта . Моей подруге тоже боец легонечко бампер задел, а, типа царапка на 500руб. А потом оказалось, что этим тюк , внутренние клипсы выломал нахер.
",0
а как заставить себя кашлять??,0
"да все проплаченые там или тупые которые не понимают что происходит , чё вы добиваетесь своими митинга ми? майдан суки американские хотите дак хуй вам на всю морду",1
только рогозину не показывайте,0
*я иду*,0
доброй спокойной ночи. мы тебя любим.,0
сука ваш горбачев и ваш ельцин проститутка,1
чудо в перьях!,0
ярославичи у вас завелась свинья. которая вас позорит,1
адекватный человек такого не скажет а это хуйло а жопашники сто процентов над собой смеются уроды,1
да её и выебать заодно не помешало бы... а потом уволить!!!,1
"храни вас бог,мужики.доброй дороги",0
"оккупация До сих пор больно тебе, пидораш?
",1
"ничего себе. вдруг все это правда?! интересно, за что трамп так невзлюбил обаму? а обама проделывал нечто подобное с памятными местами трампа?",0
всех пиздаболов надо на калыму за страдание людей,1
"господи, смотрю и волнуюсь, как будто это я прилетаю в термез. когда это пройдет?))",0
шёл ты на хуй уебок сраный,1
"Во, у нас такие же стояли. Провода были алюминька. И один провод был оголенный и загнулся вверх, доставал до стенки зеленого подрозетника. Этот провод и трогал край медной рамки. И возможно контактировал с металлической основой сверху.
",0
"очень хотелось отрубить башку тому абхазскому петуху, который каждое утро в 3 часа кукарекал. и ведь я некровожадная.",1
"класная фотка , а вам лижбы обос.....! значит вы даже на такое фото неспособны.",0
"ты по себе судишь,одноклеточная?",1
она жила в нашем доме калинина 28 на 2 этаже .очень хорошо её помню и мужа и собаку кокер спаниэль седого цвета....,0
"мне всё равно,что скажут обо мне,мне все равно,что думают другие...мне важно,что я знаю о себе. всё прочее - лишь домыслы пустые.....",0
"были конечно перебои и неполадки в снабжении. так небось родители нынешних дерьмократов устраивали диверсии. откуда-то ведь вылезли они. значит враги народа всегда жили среди обычных трудяг. дааа маловато сталин чистил ряды граждан ссср. не все оказывается были гражданами а только считались таковыми. и при первой же возможности предали и продали страну,",0
живадеры.........,1
-fm - не банда пидорасов... -а люди у которых есть совесть и честь...,1
"и обида не куда не уйдёт,будет выедать душу изнутри",0
"пиздец,российская армия.как война так солдаты,как нагрпды так бляди.",1
"на схеме показано место соединения, впико соединяется",0
давно пора стереть эту власть с лица земли,1
такую мразь надо за яйца подвешивать в центре города чтобы другим неповадно было тварям😡🤬,1
вы ничего не понимаете! это же усиление конструкции с использованием полимерных материалов.,0
"боже,как сладко спит)",0
дурачок!! мало тебя пиздили!!,1
всем ветеранам положены были выплаты в честь 75 летия со дня победы. если не выплатили это мухлеж со стороны местного пфр,0
"стою на учете и в гражданской п-ке и в военной.в этом году уже лежала в военном госпитале.что интересно: в гражданской п-ке не пинимают без мед полиса ,а в военной не только его не спросили ,но и посоветовали убрать подальше",0
"уже не 5 рублей. уже 6,16. не как не нажрутся мрази конченые.",1
пидарасы на кой черт мы вас содержим,1
это где продают???,0
родителям таких мразей огромные штрафы нужно давать.,1
всегда хочу знать имя подобного романтика!,0
не стану ..поэтому и пишу так,0
"всем привет! у меня знакомая ездила оформить землю в мфц и спросила про 10000 ей сказали,что выплаты будут в середине августа.",0
под корень эту сволочь....,1
"А имеет ли смысл сейчас брать 1080ti , если стоит обычная 1070 12Gb или подождать и брать 2080ti?
",0
прорубь к🍐 🍐 🍐 🍐а,0
я бы хотел вдуть,1
на счастье 🤣🤣🤣,0
в такую погоду петербург просто прекрасен !!!,0
"ну вот видишь не глупый... вот за него и сделаешь вещи. ты же ни пидорас, чтоб мужику давать. кто как понимает.",1
идиотка мразь,1
"ну если вы конечно писали о том ,что он и есть животное, и казнь как для животного",0
пусть она трампа правильно какать учит. а у меня на моей родине ей делать не хера! 😠🤬😠🤬😵,1
я бы вдул😄😄😄😄😄:d,1
пидарац это ишо начало... скоро свой жопу откроешь,1
какой ты мразь очкарик тупорили тварь,1
зинкя жопа кабылья,1
"Ничего, Майданом сгоним это все равно! На крайний уже случай США и НАТО поможет. Поискать надо в пидорашке химическое оружие....Бойся, моль! Скоро к Хусейну и Чаушеску отправишься. 80 процентов пидорашек против. Конец твой близок, тиран!
",1
"где такие лохи только жизни учатся. оставить 145 тонн в бардачке, да он дебил и на него нашёлся ещё один. уроком будет, лапуху.",1
явно дети с мамой. а где папа?,0
я к вам пришла на веки поселиться.,0
заебали козлы,1
а от тебя что останется ишак безмозлый не не смотри на армян одним глазом и с высоты ото армяне как до тебя дойдут от тебя мокрово место не останется и падать будешь всё больнее и больнее идиот хвати языком чесать пидрюга,1
брест вч 2187 дл 1977-79,0
их надо страфават за убийства живоных или посадить или их повесить,1
ты вообще дебил что ли,1
"толя ,ты - полный недоумок ! давай смеши и дальше честной народ",1
только растрел.,1
стальные яйца у этой женщины были🤭,0
"смотри что творит твои президент уебок, сегодня.",1
ебаные фейки анимешники,1
хуй тебе в ноздри,1
"зачем лося обидел, сравнивая его с кариковым?",0
одни пидоры у руля - от того и вся х - - ня,1
"А чтоб не остаться голодным надо возвратно поступательные движения выполнять?
",0
"назвал бы его петухом,ан нет смотрю ,а там жопа вместо головы.:-d",1
пидорастическое правительство.,1
белые продали?,0
"кому, класс,??? 🤔 автору собирать ублюдку лайки 👎🏻 👎🏻 👎🏻, хуй тебе дятел 👎🏻 👎🏻 👎🏻",1
пидор он гнусавый !!!!!,1
вот сука.... таких сразу кончать надо.....,1
"я как заметил, 99 антикоммунистов - малолетние долбоёбы-мамоёбы, без аргументации, с гринтекстом, прямиком из каналов Свнтова, Варламова и прочих невежд и хуесосов
",1
"Сколько 50К м2 ???!!!!! Блин 5К м2.
",0
"мразь ебучая, я бы её суку линчевал, и не один мускул не дёрнул я. и таких тварей большинство думе.",1
всё говно. выселяют из собственного жилья на улицу. и при том по суду. где правда? ни задолженности ни пропили. такие законы.,1
"👍👍👍хороший ,дельный совет.:d",0
она ебанулась что ?,1
"если водила из драчующейся компании, идиот, на уголовку наездил, покушение на убийство впаяют.",1
"не суки, а шлюхи! своих мужиков мало, лезут в штаны к друзьям! им просто завидно!!! а хрен им достанется!",1
путина первого надо казнить за казнокрадство с него надо начинать,1
светлая память герою днр,0
"да с кем вы затеяли переписку?) этож долбо...бы кастрюлеголовые, переколмленные печенюшками .",1
ума нет считай не будет,0
проста поскуда обе девки,1
"мразота,чтоб его тигр сожрал",1
работать не пробовали? чем сидеть и ждать.😳 😳 😳,0
братишки с праздником,0
и братом вас поставили раком,1
не внешность украшает человека а его внутренний мир и отношение окружающим его людям!♥🌹🌼🔥🔥🔥,0
а что с ней,0
"ну вот так. Не спрашивали. А ты лезешь везде со своим мнением. Которое интересно кому? Никому.
",1
прыветь,0
звоните все расскажут,0
"да. да. самое главное, что мы те кто его осуждает злые твари!!! а он просто бедненький хороший, добрый человек! люди которые встали на его защиту: опомнитесь!!!! он и над ребенком может так пошутить!!! я бы над ним так пошутила!!!",1
"ну, не суки ли, эти остановлены!!!!???",1
потому что после 17года воевали и восстанавливаю страну,0
браконьеров надо стрелять.,1
дура малолетняя откуда ты знаешь как жили в ссср наверное от западных пиздаболов а мы жили и по помойкам как ты сама говоришь лазили твои тетки,1
этого плешивого пидара надо четверовать. падлюка.,1
"здравствуйте,свежий урожай?есть доставка?",0
смерть таким тварям,1
давай я тебе подраширю дырочки,1
это подло и не по дружески,0
"чего ты блякаешь сами же набираете на работу всякую шушеру,я проработал начиная с учёбы практика армия слесарь помощник и машинист советское время было намного интереснее работа за тепловозами был уход чистота и порядок а сейчас сидят в носу ковыряться локомотивные бригады а место того что убирать тепловоз и чистить ходовую сидят на телефоне,мне эта профессия охуенно нравиться и дальше бы работал но мне заебло на закреплённой маневровой локомотиве за чужими убираться у каждого свой участок работы мне просто в падлу стало ...жаль былое уже не вернуть",1
"мне похуй кто че пишут, пусть в лицо скажет ,я ебло расшибу за пиздеж не знаю я её,она мне на хуй не нужна ты ебанутая ,и отьебись от сереги, мы живем с ним живу я с ним ну а хили спрашивать а че про алену знаешь ну это я что она сасет заебись знаю что это шлюха первой марки. сосет хуи у всех подряд мне сергей юрьевич рассказал как она у него сасала смачно эта шлюшка мне не нужна хуй сосалка мне похуй на а эту алену пошла она на хуй пусть покажет сама как сосёт шлюха мне сергей юрьеви что она сказал она у него сосала каждый день",1
"ужас!какой страшный!тут взрослая женщина напугается,не то что ребенок!с такой рожей и туда же!как черт!",0
