text,toxic
мне раньше из москвы привозили а в этом году облом с вирусом.,0
"что то ни какого азарта в игре,напоминает плей офф игры с сибирью",0
мне очень не нравится ограничения по открытию ракушек.,0
"у меня теперь выжидательная тактика: открываю ракушки только там, где уже открыты 5 и более.",0
ну хоть чуть -чуть .что ж так все переживают ?,0
женщину в любовь оденьте выглядит красиво она в ней,0
можно было не пугать ребёнка пусть кушает,0
"делать нечего, хлеб у волочковой отнимает!хотя, у той, теперь, другой хлеб- скандалы!😄",0
какой % кэшбека при оплате через телефое?,0
а вот с местными людьми общались так никто и в глаза гумпомощь из россии не видели.говорят эта гуманитарка в магазинах на прилавках.. по магазинам походили .,0
приглашаю в союз кот бегемот постоянного игрока.,0
рейтинг союза 397. писать в личку,0
я решила борщ сварить и пельмени отварим кто захочет,0
о боже мой... о боже мой... не могу сдержать своих эмоций... я начинаю не ненавидеть людей... что же вы творите?!,0
"каждому военному по мастерку в руки пусть строят жилые дома для людей переплавить танки на велосипеды,стиральные машины,детские коляски и т.д.",0
вот тогда россия начнёт цвести и пахнуть,0
"это был великий человек, не то что эти дешёвые правители – предатели нашей страны",0
дамы сейчас действуют акции 1ая- ноги полностью + глубокое бикини + подмышечные впадины бесплатно 2ая- каждое воскресенье скидка 20%,0
"у каждого свои доходы и слово не дорогой для дачника- пенсионера, весьма важно",0
"с днём рождения тебя 💋💋💋🤗🤗🤗 здоровья счастья благополучия и береги себя , хорошо 😘😘😘🌹🌹🌹🌹🌹🌹🌹",0
"ворачиваются в прошлое, а зачем ведь это пройденый этап.",0
я поздравляю всех с днём вмф и хочу отметить слаженную работу специалистов кашарского рдк в подготовке к интернет мероприятиям!,0
на самом деле этот творческий труд в интернете очень кропотлив и ответственен!,0
ваши видео версии программ интересны и легки для восприятия!,0
"а мы, посетители группы, ждем новых публикаций!",0
"сначала благополучно все разрушили,а теперь взялись строить.",0
"он поднимался все выше и выше, пока совсем не скрылся из виду.",0
"всем было грустно...утром мишу нашли целого и невредимого на воробьевых горах, после чего его отвезли на склад олимпийского комитета.",0
"никому не нужный миша пылился на складе, и про него вспомнили только за рубежом.одна немецкая коммерческая фирма предложила выкупить мишу за крупную сумму денег.",0
а мишу на складе съели крысы и он остался только в воспоминаниях людей.,0
"очень жаль, что ему не нашлось место где-нибудь в музее или на выставке.",0
"плюшевый мишка, который вызвал столько положительных эмоций у людей, был достоин этого.",0
малышу 55 лет если что.малыш жил ещё при брежневе и может сравнивать разные эпохи.,0
ничто в мире не стоит слёз собаки!!!,0
"самый красивый город в беларуси,люблю свой город♥♥♥",0
"для джонса, главное чтобы тайсон не попал по нему, а то будет плохо",0
"нежная чешуя на солнце быстро загорает, пока над водой летает.",0
"да сплошь и рядом оставляют детей одних, и гуляют одни, и в магазин одних посылают, и мусор выносить, и не только девятилетних, но и меньше возрастом.",0
перед чм по футболу убрали этот ужас с улиц виза и вот опять-оранжевые и белые на колёсах ржавые ужасные стоят как и прежде!!,0
"как и рекламные щиты-та же история, сперва пилим, потом снова ставим...",0
а народ отблагодарит награжденных немного позднее.,0
"мед будет примерно 10—13 августа, хорошо, позвоним вам обязательно",0
многие лета дари добро и любовь!,0
"?существует мнение ,счастливый человек не обижает других.",0
самая лучшая картошка на домашнем сале и только на чугунной сковородке!!!!,0
при брежневе леониде ильиче мы жили хорошо и жили хорошо порядок был во всем и законы соблюдались время это золотое не вернуть очень жаль а как хорошо жилось,0
"собачку ещё не отдали, если не отдали можно номер телефона",0
"народ,я люблю россию и не хочу,что бы вмешивались другие страны в нашу политику.",0
"детский транспорт нашёлся, его забрали в участковый пункт полиции, завтра вернут!😊😊😊",0
"будет тем кто ещё не получал, а кто получал уже не чего не будет",0
"точно , коса на камень нашла, в видео жители рассказывают , что сами сажали лес , но это на самом деле смешно.",0
"конечно, не хочется чтобы кто-то из молодежи вступил с тобой в дискуссию.",0
а ты просто будешь удивлен последствиям безобидной критики.,0
"нужна мне помощь да поддержка дружеская, не хватает в хозяйстве вещи малой для дела важного.",0
"у меня сестра троюродная работает в больнице в красноярске санитарной, совмещая обязанности медсестры.",0
"в отделении уже почти весь персонал на больничном, но короновируса не ставят им.",0
по факту большая часть персонала на больничном.,0
"пару дней назад эта участь постигла и её, она заболела.",0
ни на какие кт и прочие анализы в её больнице её не отправили.,0
"больничный не выдают сейчас, он электронный, и она даже не знает что там за диагноз ей написали.",0
"какая красота, мы в прошлом году хорошо там отдохнули!!!",0
"если никогда такого не было, то почему опять?",0
"советский союз - это самое лучшее, что было в нашей истории !",0
"и как всегда, все смотрят и снимают.... никто не заступился...",0
"образование все страны дают, а высшее образование не ссср мне дал.",0
прямо точно про моего бывшего мужа!,0
значит есть двух клавишный выключатель,0
"полно таких жалельщиков и считают, что великое доброе дело делают - с улицы забрали, а то, что жизнь на улице продолжается невдомек.",0
- так дорого же ж) и при этом поза: я спасаю животных,0
да разве можно тебя забыть доцентты наш родной!,0
"очень круто,хорошо что есть такие люди,которые пишут такие прекрасные вещи...",0
"она, когда идёт не боится сломаться пополом?",0
москвичи вас все ненавидят.а кто нас примет в москве.заболел и подыхай.,0
смотришь и глаз не оторвать.это умнейшие животные.,0
"раньше врачи действительно лечили ,боролись за каждого больного ,а сейчас оказывают помощь !",0
"во время пандемии люди умирали от рака , инфарктов ,почему их не лечили ?",0
"она просто пытается заинтересовать людей, чтобы потом на них заработать.",0
"неужели есть ещё такие наивные, которые это не видят?",0
"восхищена вашей работой, кропотливым трудом!",0
а на самом деле цвет берета - не самое главное.,0
"важно, чтобы человек в любой ситуации оставался человеком",0
"так могут и вообще фото выложить, вы что думаете она сама?",0
"а теперешнее поколение , даже не знает что это такое???",0
"здравствуйте, если рейс будет отменен вам поступит об этом оповещение а почту",0
"скончались с короновирусом от другого заболевания, а не от короновируса.",0
владик сынок это тебе люблю тоскую без тебя мой ангел небесный,0
чтобы все испортить..и не хватит целой вечности.,0
прежде чем что-то сказать или что-то сделать...берегите друг друга люди!!,0
!боль потери не лечит хмель..мы художники наших судеб..мы и кисти.,0
и --акварель..относитесь к любви как к кладу..чтоб потом не рыдать ей вслед...без любви ничего не надо..без любви ничего и нет!!,0
"ты очень классная девочка, удачи тебе красавица",0
кроме чехов я люблю только альпов в таком окрасе!!,0
я разделяю вами с вашу печаль и скорблю вместе вами с,0
"знаю очень многих которые из не богатых,бедных семей которые добились многого.и так де тех кто из семей с достатком,которые не добились ничего.",0
а я вместо алычи ложу маленький помидорчик чери.,0
это действительно были лучшие годы жизни,0
дааааа все хорошо базарят а как дело доходит до наказания то все всторону и тишина,0
а между предложением и делом может пройти много лет.,0
"давно пора, опустить зарплаты депутатов, сенаторов и т.п.",0
"тогда в депутаты пойдут те, кто, действительно, заботится о россии и россиянах, а не те, кто рвется к кормушке, чтобы набить свой собственный карман!",0
"как хорошо вы написали, прочитала как про своего деда шляпина василия, правда после войны 22 года прожил, но ушёл на войну 18 летним парнем, а вернулся с медалями и осколком.",0
осенью 1979 года меня после учебки направили служить на камчатку на скр резкий.,0
"товарищ мартиросян, в то время - кап-три, работал там командиром корабля.",0
"раз согласились работать от безвыходности за такую зарплату, зачем тогда жаловатся?",0
"у вас есть выбор, или работать или не работать за такие деньги.",0
уменя тоже сын с разными глазами один карий другой голубой и он для нас все равно красавиц наш и ваша девочка очень красивая дай бог ей здоровья,0
скажите пожалуйста а где этот город находится?,0
достаточно посмотреть на флаг армии генерала власова.,0
"я использовала дюфалак, нам очень помогло, его совсем немного",0
"добрый день,можно приобрести рабочую программу для 2-3 лет",0
"если это правда,я преклоняюсь перед такими людьми,дай бог вам здоровья и ребёночек,вы умница.",0
"доця с зятем и мальчишки, а внучка со мной дома.",0
"мы бы тоже поехали, да муж на вахте, а у меня хозяйство.",0
ты даже не знаешь когда масло пальмовое стали завозить .,0
оплатила 76руб.21:42 с карты 1413 людмила алекс.к.передать в прохладный.,0
10 лет карасю... конечно стал членом семьи... как кот или собака...,0
"действительно,мы весь год об иссык-куле мечтали и вдруг такое...:(",0
поднятие пенсионного возраста.развал экономики.публикация это провокация и ложь.,0
молодцы честь и хвала вам дай вам бог здоровья и вашему ребеночку🌼🌼🌼❤,0
"замечательно,все вы довольствуетесь,но дети без отцов растут",0
где тот мертвый который поднялся после употребление этой смеси !,0
"счастья тебе ванечка, дай бог тебя возьмут добрые люди, будет у тебя семья и родня и все самое лучшее",0
"в ветклинику нужно обязательно , чтобы удостовериться , что не болен , чтобы не заразился ваш кот !",0
"если болен , то нужно лечить , не выкидывайте малыша , подарите ему дом , ласку , уход !",0
"а у вас предоплата , и сколько будет стоит в томск",0
"выходит так, без решения суда человека уже виновен ,а это не является давлением на суд.",0
"просто я не живу в квартире, а иногда сплю в ней.",0
пусть будет ваше утро добрым всем хорошего букет настроения и от меня,0
для такого количества квартир мизерные дворики.,0
меня оскорблять за правдивую информацию это нормально.,0
по вашему вашу ложь должны поддерживать все,0
"пусть он предатель , но сколько людей спас от гибели.",0
но это 3- 4 раза в неделю спорт в зале плюс бег ежедневно ( хорошо поднимает настроение).,0
только мяту не пейте ни в каком случае ато молоко потихоньку уйдет по себе знаю.,0
"нет в гибискусе создаются,кусты с бабочкаи их кормиш землниккой",0
"все хорошего качество ,плотное ,не марля ,после стирки не линяет форму не теряет в тряпку не превращается",0
я тот ещё игрок... боялась этих котов и с свд их отщёлкивала.,0
"берет деньгами ,но от испуга и детской грыжи лечит .",0
мое мнение я его написала а после колобка я уже много чего читала!,0
"светик, правильно в общалке ответили, надо из них другие создавать, более сложные.",0
помидоры они самые сильные растут даже побывав в желудке,0
"не употребление матерных слов действует на организм успокаивающе, а выброс негативной энергии вместе с этими словами - снимают стресс накопившийся в организме.",0
"человек не находит ничего лучше как выругаться, употребляя при этом нецензурную брань.",0
"я конечно понимаю, что вы живёте не в тамбовской обл., но даже пусть так: откуда вы знаете, что фургал никуда не вкладывался, вам лично путин докладывал ?",0
в офисах тоже пашут к вашему сведенью еще и как .,0
"странные люди есть, и поправки даже для их же улучшения.",0
а лучше соберите инициативную группу и возьмите под шефство по одному ветерану.,0
"это скорей смешно,ведь наша молодежь тоже ходит с непонятными надписями чуть не на лбу.как то читала анекдот,ехала в автобусе дева,а на ней надпись гласила,что она замороженный цыпленок.",0
но надпись была на заморском языка и девочка гордо несла ее на себе.,0
ливня нет зато зато так холодно резко стало,0
"да-паразитов подкармливает америка им главное убрать путина-шибко умный и знает,что по чём,им новального подавай-второй ельцин.",0
"60 лет назад в обычной советской школе, мне сейчас 67",0
"владимир,ты не удачник ... всё в точку ,в 30 лет девушка набирается мудрости и цветёт",0
"в моем детстве сестра спасла братишку, а сама утонула.",0
"деток нельзя возле воды оставлять без присмотра, если они не умеют плавать.",0
да нина..ему мало не покажется...он не прав...нельзя брать плату..а потом посреди дороги вышвыривать детей..,0
почему не дали..?у меня писал в тейково и попал туда.,0
​прочитал и сразу настроение скакнуло вверх!,0
"от чего , от чего , от чего мне хорошо , да потому что амеров свои и сбили...",0
раньше говорили купил яву копай яму😊,0
зато в деревне классно свежий воздух .вот только работы нето в сёлах это уже плоха час та и в городе тяжело найти работу,0
"в этот день пьяные священники будут размахивать хоругвиями на площадях , купаться в фонтанах и рвать на себе рясы с криком : а ты в каком храме служил ?",0
я думаю скоро вся россия подымется только против хабаровска,0
"люди последние 100 руб отправляли для ваших собак, на питание и стерилки, не говоря что каждый месяц оплачивался газ.",0
"очень подло, низко и мерзко от вашего поступка!!!",0
"попробуйте отдавать и доверять людям, а не спать в одной постели с огромными дворовыми псами.",0
"казалось бы , видела всю эту нашу красоту сотни раз, но вот снова и снова радуюсь и восхищаюсь !",0
"самый вкусный хлеб пекла тетя маша у нас в поселке, все в ручную",0
"я могу 450 руб ,только гель -лак 89276206911",0
"не вредили, ветки не ломали, понимали что это нельзя делать.",0
"мне нравятся весёлые гномики,без бугорков и шипов ,очень урожайные, без горечи.семена продают в пятёрочке .",0
"не хватает тюбика с клеем резиновым,заплатки,и тёрки специальной.",0
"ему нечего просто сказать, все темы уже смылены 🤦🤦🤦",0
"шелуха, окурки, бутылки... ветер принёс?",0
"здоровья, счастья, благополучия, везения и всем самого прекрасного!",0
с пассажирами представьте сейчас по телевизору показали как гепард выследил догнал съел газель и сяковлева,0
"у нас тоже кот, всегда первые огурцы пробовал он, и ещё любил арбузы.",0
привет очень красивая фигуры у тебя даже очень,0
моя тетя купала кота поместив его в авоську.,0
"девочки,прокопьевск.кто- нибудь получил сегодня?",0
постепенно этот культ пьянства уйдет .,0
"про международный женский день 8 марта, а по старому 23 февраля отмечают только в 2ух странах в китае и россии.",0
"галина вы правильно все поняли, раньше этим занималась предприятие птс и со руководитель был шестов.",0
а сейчас хотят только деньги сорвать,0
поздравляем михаила андреевича и тамару георгиевну с 49 летней годовщиной свадьбы!,0
"самодельный, а у наших инженеров не хватает.а если хватит,то цену до обломков поднимут.",0
"а сегодня салуянов сказал, что россия предоставила кредит таджикистану под 1 % годовых, вот так!",0
круг получился меньше))) а так хорошо утром пройтись.,0
"воздух свежий, птички поют, ароматы цветов отовсюду.",0
детей в школу собирать надо тоже деньги,0
мой папа работал на драге в1962 году васильев петр кузьмич,0
моя лапонька!пусть дяде станет стыдно.,0
я советую тебе купить айфон 20 и 30 про макс,0
выражаю искреннее соболезнование семье и матери.очень скорблю:(,0
в 71 год предьявить изнасилование - круто... каждый мужик в душе наверно немного завидует.,0
многие уже и по согласию в таком возрасте не рискнут... а тут такое!,0
и америка ещё возмущена протестами своих темнокожих граждан????,0
здраствуйте меня тоже добавьте 89244740737,0
"в прошлом году делала все по рецепту, только без чеснока.",0
"добавляю виноградные листы и дольки яблок, вообще песня!!",0
"как красиво связано, а сама очаровательная и нежная такая.",0
"и зачем такое показывать, что бы тебя возненавидели, совершил подвиг.",0
"5-10 минут посиди возле врача на стуле, успокойся и всё будет окей.",0
а то прибежал и сходу пройти тяжело: напрыгался вокруг авто.,0
опыт на выпуске в транспортном цехе и в полевых условиях механиком,0
"здравствуйте, подскажите пож.имеет ли ценность фарфоровая фигурка собачки?",0
около хвостика выдавлены цифры 66 и точка,0
"зачетная дама, для такой и лайка не жалко😏",0
твои стихи созвучны моей душе... умница!,0
они осень быстро растут и попадают в ипотеку!,0
у меня было две штуки: простая для повседневной носки и шелковая для праздников и торжественных мероприятий,0
а кроме детей больше деньги никому не нужны?,0
"ну если срок ещё не кончился, почему залежалое?",0
здравствуй денис мне сегодня приснился сон железная дорога я по ней проходила и поезд ехал вдалеке медленно и ещё я покупала огурцы к чему снится этот сон спасибо за ответ,0
"зачем писать о своей страничке, если там ничего нет?!",0
родители остаются на обочине жизни детей,0
надо листать фото с последних до первых и вы увидите итог.,0
"лена, я чаще всего тоже так фильмы смотрю-рукодельничаю, глажу...",0
"пока готовится мясо,и капу-устка сойдет:)",0
такой вещи простой в хозяйстве не оказалось!,0
"сильная женщина может быть успешной в жизни и при этом быть прекрасной хранительныцей домашнего уюта, очага.",0
спасибо участницам онлайн - выставки за прекрасные работы о лете!,0
"увы, это не всегда кризис среднего возраста, у меня была такая ж ситуация, нашли силы решили эту проблему но в конце концов забрала дочь и вещи и ушла.",0
оплатил александр николаевич с 428 руб передать в новопавловск,0
"ну вот понимаете...диски класс ,но вылет ет не подкорректирован ...зад норм перед ...увы",0
"видать, уже заканчивается у лехаима, но есть и другие источники оплаты подставных хабаровчан.",0
"всем доброго дня и приятной игры, добавляйтесь в друзья",0
"всюду знакомые милые лица, голубоглазые в большинстве.",0
💋🌹🥰😘😘💐 с днем рождения бабуля здоровье тебе🌹🌹🌹🌹💕💞🌹🌹💕💞🎂🎂🎂🎂🎂🎂🎂🎂🎂🎂🎂,0
сухого корма всего один пакет 800 гр.,0
к сожалению в кошатник срочно необходимо было закупить лекарство юнидокс.,0
сегодня срочно отправляю первую партию помощи.,0
"в точность тестов не верите, а в точности иммуноглобулинов, выходит, уверены ?)",0
"у них электроника главное, а нам бы потискать, погладить, поговорить с котиком...",0
где можно приобрести такого кота и сколько стоит,0
"в белорусии этого не произойдет, можете быть спокойны",0
"очень люблю эту розу,радует каждый год своим цветением",0
"это такое точное высказывание, соответствует полностью действительности в настоящее время 👍👍👍",0
сейчас сам гараж потерял свою значимость.,0
весь ремонт сводится максим накачать колесо машины.,0
"очееь бестактно сказал про даниила, это неприлично делать такие заявления.пока у него нет результатов никаких, чтобы делать такие заявления.",0
да и на джуме ещё дешевле... не говоря про пандао и алик.,0
"высоцкого, как могут быть лучшие песни?",0
"жалко,что женское воспитание одного единственного сына приводит к таким результатам.",0
"мама решит ,мама сделает, а потом тоже самое жена должна.а должна ли?",0
"умный, красивый, талантливый актёр и прекрасный человек, таких настоящих актёров мало",0
"нее девоньки ,у нас в кемеровской области в чете чет по серенькому....",0
"по определению никто из нас несможет купить,нас или завалят или посадят.",0
знакомые летят с камчатки до новосибирска 4 августа.,0
пусть ваша дружба будет вам в помощь!,0
"спасибо, была в почаеве на субботней службе, когда опускается икона к мирянам.",0
"а как же витамин с, который погибает при высокой температуре!",0
"хорошая собачка,дала хороший пример для человека",0
"интересно, кто против кого будет вести эту будущую биологическую войну?",0
"участвуют все континенты: америка, европа, китай, азия.",0
"мы желаем счастья вам, счастья в этом мире большом!",0
"мы желаем счастья вам, и оно должно быть таким, когда ты счастлив сам, счастьем поделись с другим!",0
всё равно мне не понять... потому что был там один раз случайно...,0
"пропускаю редко,очень редко, особенно последние три года.",0
хожу на службы с радостью и чем чаще тем лучше на душе.,0
так вот пришла к выводу люди не ходят в храмы по двум причинам.,0
"при отсутствии веры и страха божиего, и по лени-это второе.",0
зато со временем вам откроется такое ни с чем не сравненное чувство радости.,0
вернут сейчас в половине сел фельдшеров даже нет,0
"да, чтоб это средство принять надо такое мужество иметь.",0
в те времена эти сандалики были все из натуральной кожи и стоили очень дешево,0
